category,question,year
Historia,Babylon blomstrar under Nebukadnessar II och de hängande trädgårdarna anläggs.,600 f.Kr.
Historia,Persiska riket grundas av Kyros den store och sträcker sig från Indien till Medelhavet.,550 f.Kr.
Historia,Sokrates dricker giftbägaren efter att ha dömts av en atensk domstol.,399 f.Kr.
Historia,Platon grundar Akademin i Aten – ett av historiens första universitet.,387 f.Kr.
Historia,Aristoteles blir lärare åt den unge Alexander av Makedonien.,343 f.Kr.
Historia,Alexander den store dör i Babylon vid blott 32 års ålder.,323 f.Kr.
Historia,Det hellenistiska biblioteket i Alexandria grundas och samlar antikens kunskap.,283 f.Kr.
Historia,Arkimedes mördas av en romersk soldat under erövringen av Syrakusa.,212 f.Kr.
Historia,Cicero mördas och Romarrepublikens sista store talare tystnar.,43 f.Kr.
Historia,Pompeji begravs under lava och aska när Vesuvius får utbrott.,79
Historia,Roms befolkning beräknas nå en miljon invånare och är antikens största stad.,100
Historia,Konstantinopel grundas av kejsar Konstantin och döps till den nya romerska hauptstaden.,330
Historia,Attila härskar över ett mäktigt hunnisk rike och hotar Europa.,450
Historia,Augustinus skriver Gudsstaten och formar den kristna teologins grundvalar.,426
Historia,Det islamiska riket breder ut sig från Spanien till Centralasien under Umayyaderna.,750
Historia,Harun al-Rashids Bagdad är världens mest lysande stad och centrum för lärande.,800
Historia,Vikingarna grundar staden Kyiv och lägger grunden till det kievska riket.,882
Historia,Leif Eriksson landar på den nordamerikanska kusten och kallar det Vinland.,1000
Historia,Normanerna invaderar England och Vilhelm Erövraren kröns i Westminster Abbey.,1066
Historia,Den islamiske filosofen Averroes kommenterar Aristoteles och påverkar europeiskt tänkande.,1180
Historia,Magna Carta begränsar den engelske kungens makt och är ett tidigt demokratidokument.,1215
Historia,Dante Alighieri påbörjar skrivandet av Den gudomliga komedin.,1308
Historia,Fransiskanerorden grundas av Frans av Assisi i Italien.,1209
Historia,Dominikanerordens grundas och bli en viktig kraft i tidens lärande.,1216
Historia,Thomas av Aquino skriver Summa Theologica och försonar tro och förnuft.,1265
Historia,Marco Polo återvänder från sin resa till Kina och skriver ned sina upplevelser.,1295
Historia,Ibn Battuta påbörjar sina resor och besöker fler länder än någon annan i medeltiden.,1325
Historia,Svarta döden utplånar uppskattningsvis en tredjedel av Europas befolkning.,1347
Historia,Geoffrey Chaucers Canterbury Tales skrivs och fornengelskan dokumenteras.,1387
Historia,Vatikanens Peterskyrka börjar byggas om under Michelangelo och Bramante.,1506
Historia,Erasmus av Rotterdam publicerar Dårskaps lov och humanismen sprider sig.,1511
Historia,Machiavelli publicerar Fursten och modernt politiskt tänkande föds.,1513
Historia,Thomas Mores Utopia publiceras och samhällsdrömmar formuleras.,1516
Historia,Martin Luther gifter sig med Katharina von Bora och bryter prästcellibatets norm.,1525
Historia,Kalvinismen sprider sig i Genève och protestantismen breddar sig.,1536
Historia,Vatikankonciliet i Trient inleds och katolska kyrkan reformerar sig inifrån.,1545
Historia,Den första globusen som stämmer med den moderna världen skapas av Mercator.,1569
Historia,Galileo Galilei rannsakas av inkvisitionen för sin syn på solsystemet.,1633
Historia,René Descartes publicerar Diskurs om metoden och filosofin förändras.,1637
Historia,Isaac Newton formulerar gravitationslagen och rörelsens lagar.,1687
Historia,John Lockes Två avhandlingar om statsförvaltningen lägger grunden för liberalismen.,1689
Historia,Den franska upplysningstänkaren Voltaire publicerar Candide.,1759
Historia,Jean-Jacques Rousseaus samhällskontrakt publiceras och revolutionerna inspireras.,1762
Historia,Adam Smiths Nationernas välstånd publiceras och ekonomisk liberalism grundläggs.,1776
Historia,Den amerikanska konstitutionen undertecknas av de grundande fäderna.,1787
Historia,George Washington väljs till USA:s förste president.,1789
Historia,Deklarationen om de mänskliga rättigheterna antas av den franska nationalförsamlingen.,1789
Historia,Napoleon kröner sig till kejsare av Frankrike i Notre-Dame-katedralen.,1804
Historia,Det brittiska parlamentet avskaffar slavhandeln i hela imperiet.,1807
Historia,Latinamerikanska länder börjar frigöra sig från spanskt och portugisiskt styre.,1810
Historia,Simón Bolívar befriar Colombia Venezuela Ecuador och Peru från spanskt styre.,1824
Historia,Det grekiska självständighetskriget leder till ett fritt Grekland.,1829
Historia,Charles Dickens Oliver Twist publiceras och fattigdomens ansikte skildras.,1838
Historia,Den kommunistiska manifestet publiceras av Marx och Engels.,1848
Historia,Revolutioner sveper genom Europa och 1848 kallas folkens vår.,1848
Historia,Den industriella revolutionen förändrar Europa och urbaniseringen accelererar.,1850
Historia,Florence Nightingale reformerar sjukhusvården under Krimkriget.,1854
Historia,Det första oljeborrtornet slår olja i Pennsylvania och oljeeran inleds.,1859
Historia,Abraham Lincoln väljs till USA:s president och slaveriets öde beseglas.,1860
Historia,Röda korset grundas av Henri Dunant efter hans erfarenheter vid Solferino.,1863
Historia,Den amerikanska slaveriet avskaffas formellt med det 13:e tillägget.,1865
Historia,Alfred Nobel uppfinner dynamiten och skapar en förmögenhet som leder till Nobelpriset.,1867
Historia,Det japanska kejsardömet återupprättas och Meijirestaurationen moderniserar Japan.,1868
Historia,Suezkanalen invigs och handeln mellan Europa och Asien förkortas dramatiskt.,1869
Historia,Tyska riket utropas i Versaillerpalatsets spegelsalare.,1871
Historia,Mark Twains Tom Sawyer publiceras och det amerikanska berättandet hittar sin röst.,1876
Historia,Thomas Edison skapar ett fungerande system för elektrisk belysning.,1879
Historia,Det första praktiska telefonnätet öppnar i Connecticut i USA.,1878
Historia,Kvinnornas kamp för rösträtt tar form med grundandet av suffragettrörelsen i England.,1897
Historia,Det spansk-amerikanska kriget gör USA till en kolonialmakt på Kuba och Filippinerna.,1898
Historia,Sigmund Freud publicerar Drömtydning och det omedvetna utforskas.,1899
Historia,Den kinesiska Boxarupproret slår mot utländskt inflytande i Kina.,1900
Historia,Nobelpriset delas ut för allra första gången i Stockholm och Oslo.,1901
Historia,Det Wright-brödernas första lyckade motordrivna flygning sker i Kitty Hawk.,1903
Historia,Albert Einstein publicerar sin speciella relativitetsteori som 26-åring.,1905
Historia,Henry Fords T-Ford börjar löpandebandstillverkas och bilar når folket.,1908
Historia,Titanic tar med sig 1 500 liv till havets botten på sin jungfrufärd.,1912
Historia,Balkankrigen omformar södra Europas karta inför det stora kriget.,1912
Historia,Första världskrigets slut omritar Europas karta och fyra kejsardömen faller.,1918
Historia,Spanska sjukan dödar fler än kriget – uppemot 50 miljoner världen över.,1918
Historia,Nationernas förbund grundas som ett försök till fredlig mellanstatlig ordning.,1920
Historia,Egypten ges formellt självstyre men brittiska trupper stannar kvar.,1922
Historia,Mahatma Gandhi leder icke-våldsrörelsen mot brittiskt styre i Indien.,1930
Historia,Franklin D. Roosevelt lanserar New Deal och räddar den amerikanska ekonomin.,1933
Historia,Folkens förbund kollapsar när Japan och Ryssland inte respekterar det.,1935
Historia,Jessie Owens fyra OS-guld i Berlin gör nazisternas rasideologi till åtlöje.,1936
Historia,Kristallnatten markerar en tydlig eskalering av nazisternas förföljelse av judar.,1938
Historia,Luftbryggan till Berlin håller stadens befolkning vid liv under blockaden.,1948
Historia,Mao Zedongs Lilla röda bok trycks och sprids till hundratals miljoner i Kina.,1964
Historia,Kulturrevolutionen i Kina kastar landet i kaos och miljoner dör.,1966
Historia,Martin Luther King mördas på en balkong i Memphis Tennessee.,1968
Historia,Neil Armstrong sätter sin vänstra fot på månens yta som förste människa.,1969
Historia,Det första e-postmeddelandet skickas på ARPANET av Ray Tomlinson.,1971
Historia,Sverige får sin första kvinnliga statsminister – Magdalena Andersson.,2021
Historia,Estrid – en kvinna – väljs till ärkebiskop i Sverige.,2019
Historia,Sverige firar 500 år som självständigt land under Gustav Vasas flagga.,2023
Historia,Birger Jarl grundlägger Stockholm vid Mälarens utlopp.,1252
Historia,Kristina av Sverige abdicerar och konverterar till katolicismen.,1654
Historia,Sverige tappar sin stormaktstatus efter Karl XII:s döda.,1718
Historia,Gustav III mördas på en maskeradbal på Operan i Stockholm.,1792
Historia,Sverige lämnar ifrån sig Pommern till Preussen som det sista tyska besittningen.,1815
Historia,Sverige och Norge förenas under en gemensam union.,1814
Historia,Unionskransen brister och Norge och Sverige skiljs i frihet.,1905
Historia,Nils Holgerssons underbara resa publiceras och Selma Lagerlöf vinner Nobel.,1906
Historia,Sverige sänder en expedition till Antarktis under Otto Nordenskjölds ledning.,1901
Historia,Sven Hedin kartlägger Tibet och Centralasien och hyllas som hjälte.,1908
Historia,Fridtjof Nansen korsar Grönland och väcker intresse för polartrakterna.,1888
Historia,Roald Amundsen når sydpolen och slog Robert Scott med fem veckor.,1911
Historia,Den svenska modellen formuleras med Saltsjöbadsavtalet som modell.,1938
Historia,Erlander sitter som statsminister i rekordlånga 23 år i Sverige.,1969
Historia,Palme-mordet är fortfarande det mest omtalade ouppklarade brottet i Sverige.,1986
Historia,Mordet på Anna Lindh skakar Sverige ett år före EU-omröstningen.,2003
Historia,Sture Bergwall erkänner mord och Sverige konfronteras med en seriemördare.,1994
Historia,Sarajevo-mordet utlöser en diplomatisk kris som leder till världskrig.,1914
Historia,Den spanska influensans andra våg är den dödligaste och drabbar USA hårt.,1918
Historia,Suffragetterna i England bränner brevlådor och kräver rösträtt med dramatik.,1913
Historia,Emmeline Pankhurst arresteras för att ha brutit mot den engelska lagen.,1913
Historia,Nytestamentets kanon fastställs av kyrkomötet i Laodikeia.,363
Historia,Det västromerska riket splittras i riken och kultur bevaras i kloster.,500
Historia,Benedikts ordensregel skapar grunden för det europeiska klosterlivet.,529
Historia,Den Islamiska guldåldern blomstrar i Bagdad med matematik och medicin.,830
Historia,Vikingarna grundar Normandiet och nordborna integreras med frankerna.,911
Historia,Medeltidens gotiska katedraler börjar uppföras i Frankrike.,1140
Historia,Universitetens uppkomst i Bologna och Paris skapar akademisk tradition.,1200
Historia,Det mongoliska rikets fall skapar maktmakeover i Asien och Östeuropa.,1368
Historia,Michelangelo skulpterar David och renässansen befäster sin plats i historien.,1504
Historia,Copernikus publicerar sitt heliocentrska verk på sin dödsdag.,1543
Historia,Shakespeares Globe Theatre byggs i London och teaterkulturen blomstrar.,1599
Historia,Galileo Galilei förbättrar teleskopet och ser Jupiters månar.,1610
Historia,Den filosofiske René Descartes formulerar cogito ergo sum.,1637
Historia,Det stora brandkatastrofen i London förstör 13 000 hus men dödar få.,1666
Historia,Isaac Newton publicerar Principia och naturvetenskapen tar ett språng.,1687
Historia,Peter den store grundar Sankt Petersburg och moderniserar Ryssland.,1703
Historia,Encyklopedin ges ut i Frankrike och upplysningstidens idéer sprids brett.,1751
Historia,Den amerikanska konstitutionens Bill of Rights garanterar medborgerliga friheter.,1791
Historia,Haitis slavuppror leder till den första svarta republiken i världen.,1804
Historia,Charles Dickens David Copperfield publiceras och den sociala romanen blomstrar.,1850
Historia,Harriet Beecher Stowes Onkel Toms stuga berör miljoner och stärker abolitionismen.,1852
Historia,Den brittiska kronan tar kontroll över Indien efter sepoyupproret.,1858
Historia,Suezkanalen byggs med egyptisk och europeisk finansiering.,1869
Historia,Den tredje franska republiken grundas och Frankrikes demokrati stabiliseras.,1870
Historia,Rättvisekämpen Émile Zola publicerar J'accuse i Dreyfusaffären.,1898
Historia,Pankhursts suffragettrörelse demonstrerar och kräver rösträtt för kvinnor i England.,1908
Historia,Marie Curie tilldelas Nobelpriset i kemi och är den förste att vinna det två gånger.,1911
Historia,Den ryske tsaren Nikolaj II abdicerar och en epok tar slut.,1917
Historia,Irländska frihetskampen leder till ett delat och självständigt Irland.,1921
Historia,Mustafa Kemal Atatürk proklamerar Turkiet som en sekulär republik.,1923
Historia,Mahatma Gandhi fängslas för sin saltmarsch och blir en symbol för frihet.,1930
Historia,Den spanska republiken faller och Franco tar makten.,1939
Historia,Indien och Pakistan delas i det blodigaste folkvandringsexperimentet i historien.,1947
Historia,Israel-Palestina-konflikten tar form i och med statens Israel utropande.,1948
Historia,Kinas kommunistiska revolution omformar det folkrikaste landets historia.,1949
Historia,Egyptens Nasser nationaliserar Suezkanalen och konfronterar kolonialismen.,1956
Historia,Kubas revolution lyckas och Castro tar makten från Batista.,1959
Historia,Berlinmurens byggande delar familjer och ett helt folk.,1961
Historia,Kuba-krisen håller världen i andlöst bidan i tretton dagar.,1962
Historia,Kennedymordet skakar USA och världen och teorier myllrar fortfarande.,1963
Historia,Sydafrikas apartheidsystem hårdnar och Mandela döms till livstids fängelse.,1964
Historia,Kulturrevolutionen tvingar Kinas intellektuella till självkritik och arbetsläger.,1966
Historia,Prag-våren krossas av Sovjet-tanks och reformkommunismen dör.,1968
Historia,Watergate-skandalen leder till att Nixon är den enda presidenten som avgår.,1974
Historia,Irans islamiska revolution förändrar Mellanösterns maktbalans.,1979
Historia,Thatcher genomför sina radikala ekonomiska reformer och förändrar brittskt samhälle.,1979
Historia,Solidaritet-rörelsen i Polen utmanar kommunismen och Walesa leder strejker.,1980
Historia,John Lennons mord av ett fan chockar en hel generation.,1980
Historia,AIDS-epidemin identifieras och drabbar i tysthet miljoner människor.,1981
Historia,Gorbatjov inleder glasnost och perestrojka och Sovjet liberaliseras.,1985
Historia,Tjernobylkatastrofen strålar ut radition och tvingar 350 000 att fly.,1986
Historia,Nelson Mandela friges efter 27 år och Sydafrikas frihet skymtas.,1990
Historia,Folkmordet i Rwanda genomförs inför världens ögon och FN agerar inte.,1994
Historia,Den digitala revolutionen förändrar kommunikation och ekonomi runt om i världen.,1995
