category,question,year
Sport,Patrik Sjöberg sätter inomhusvärldsrekord i höjdhopp med 2.42 meter.,1987
Sport,Stefan Edberg vinner US Open och håller världsettanpositionen.,1991
Sport,Kobe Bryant gör 81 poäng mot Toronto Raptors – näst högst i NBA-historiken.,2006
Sport,LeBron James leder Cleveland Cavaliers till NBA-titel efter att ha legat under 3-1.,2016
Sport,Michael Phelps vinner åtta OS-guld i simning i Peking.,2008
Sport,Usain Bolt vinner OS-guld på 100 meter och 200 meter och stafett i Peking.,2008
Sport,Roger Federer vinner sin 20:e grand slam-titel i Australian Open.,2018
Sport,Lionel Messi tilldelas sin sjunde Ballon d'Or.,2021
Sport,Billie Jean King besegrar Bobby Riggs i det så kallade Battle of the Sexes.,1973
Sport,Zlatan Ibrahimović debuterar i A-landslaget för Sverige.,2001
Sport,Max Verstappen vinner sitt första F1-världsmästerskap i Abu Dhabi.,2021
Sport,Nicklas Bäckström vinner Stanley Cup med Washington Capitals.,2018
Sport,Viktor Axelsen vinner OS-guld i badminton i Tokyo.,2021
Sport,Adam Małysz vinner individuellt VM-guld i backhoppning.,2001
Sport,Emma Raducanu vinner US Open utan att förlora ett set.,2021
Sport,Henrik Stenson vinner British Open med enastående spel.,2016
Sport,Charlotte Kalla vinner OS-guld i skiathlon i Pyeongchang.,2018
Sport,Eliud Kipchoge springer maraton på under två timmar i ett kontrollerat försök.,2019
Sport,Kareem Abdul-Jabbar tar poängrekordet i NBA.,1984
Sport,Patrick Mahomes leder Kansas City Chiefs till Super Bowl-segern.,2020
Sport,Naomi Osaka vinner US Open och håller upp en mask för varje speldag.,2020
Sport,Tyson Fury slår Wladimir Klitschko och tar tungviktstiteln.,2015
Sport,Mikaela Shiffrin vinner sitt första olympiska guld i storslalom i Sotji.,2014
Sport,Frida Hansdotter vinner OS-guld i slalom i Pyeongchang.,2018
Sport,Magnus Carlsen vinner VM i schack för femte gången.,2021
Sport,Stephen Curry gör 402 trepoängare under en enda NBA-säsong.,2016
Sport,Katie Ledecky vinner fem OS-guld i simning i Rio.,2016
Sport,Armand Duplantis vinner OS-guld i stavhopp i Tokyo och sätter nytt rekord.,2021
Sport,Rafael Nadal vinner Australian Open trots att han legat under 2-0 i set.,2022
Sport,Nils van der Poel vinner OS-guld på 5000 och 10000 meter skridskor i Peking.,2022
Sport,Sverige vinner VM-guld i ishockey i Köln.,2017
Sport,Zlatan Ibrahimovic gör comeback i AC Milan som 39-åring.,2021
Sport,Armand Duplantis vinner VM-guld i stavhopp i Eugene och sätter världsrekord.,2022
Sport,Eliud Kipchoge sätter maratonvärldsrekord i Berlin med 2 timmar och 1 minut.,2022
Sport,Carlos Alcaraz vinner US Open som 19-åring och tar topplatsen i tennis.,2022
Sport,Iga Swiatek dominerar tennis och håller världsettan i över ett år.,2022
Sport,Max Verstappen vinner F1-VM med 15 segrar under säsongen.,2022
Sport,Lionel Messi vinner VM-guld med Argentina i Qatar efter straffar mot Frankrike.,2022
Sport,Sverige slår ut USA i VM-kvartsfinalen i fotboll för damer i Auckland.,2023
Sport,Novak Djokovic vinner Australian Open för tionde gången.,2023
Sport,Jannik Sinner vinner Australian Open och slår Djokovic i semifinalen.,2024
Sport,Marcell Jacobs vinner OS-guld på 100 meter i Tokyo och chockar världen.,2021
Sport,Karsten Warholm slår världsrekord på 400 meter häck i Tokyo.,2021
Sport,Armand Duplantis vinner OS-guld i stavhopp i Paris och sätter nytt världsrekord.,2024
Sport,Carlos Alcaraz vinner Wimbledon för andra gången och slår Djokovic i finalen.,2024
Sport,Anja Pärson vinner fem VM-guld i alpint på hemmaplan i Åre.,2007
Sport,Hjalmar Andersen vinner tre OS-guld i skridskoåkning i Oslo.,1952
Sport,Gunde Svan vinner OS-guld i längdåkning i Sarajevo.,1984
Sport,Thomas Wassberg vinner OS-guld med minsta möjliga marginal i Lake Placid.,1980
Sport,Eva Wahlström vinner VM-titeln i boxning i lätt fjädervikt.,2014
Sport,Mondo Duplantis noterar 6.21 meter i stavhopp utomhus och slår sitt eget rekord.,2022
Sport,Petra Kvitova vinner Wimbledon för andra gången.,2014
Sport,Novak Djokovic vinner sin 24:e grand slam-titel i US Open.,2023
Sport,Petter Northug vinner VM-guld i skiathlon på dramatiskt sätt i Oslo.,2011
Sport,Anna Olsson vinner VM-guld i skidskytte i Oberhof.,2004
Sport,Stina Nilsson vinner VM-guld i sprint på skidor i Falun.,2015
Sport,Sverige vinner lagtävling i ridsport i OS i Barcelona.,1992
Sport,Toni Kroos vinner Champions League tre gånger i rad med Real Madrid.,2018
Sport,Ashton Eaton sätter världsrekord i tiokamp med 9045 poäng.,2015
Sport,Allyson Felix vinner fler OS-medaljer än någon annan amerikansk friidrottare.,2021
Sport,Jonatan Christie vinner OS-guld i badminton i Paris.,2024
Sport,Anna Kiesenhofer vinner OS-guld i landsvägslopp på cykel och chockar favoriterna.,2021
Sport,Mondo Duplantis väljer att representera Sverige och tävlar i sitt första EM.,2018
Sport,Ingemar Stenmark vinner 86 världscuplopp totalt under sin karriär.,1989
Sport,Zlatan Ibrahimović debuterar i Serie A med Juventus.,2004
Sport,Ronaldo debuterar för Manchester United som 18-åring.,2003
Sport,Nils Lied springer det första OS-maraton som en sydamerikan under Antwerpen-spelen.,1920
Sport,Emil Zátopek vinner tre guld i friidrott vid OS i Helsingfors.,1952
Sport,Olaf Tufte vinner OS-guld i rodd i skullt i Aten.,2004
Sport,Reinhold Messner bestiger Everest ensam och utan syrgas.,1980
Sport,Valentino Rossi vinner sin nionde MotoGP-titel.,2009
Sport,Yelena Isinbayeva sätter världsrekord i stavhopp för 27:e gången.,2009
Sport,Oscar Pistorius tävlar som förste blamputerad i OS-semifinal i London.,2012
Sport,Ronda Rousey vinner UFC-titeln på 14 sekunder.,2015
Sport,Häcklöparen Colin Jackson sätter inomhusvärldsrekord på 60 meter häck.,1994
Sport,Lindsey Jacobellis tappar medaljen i snowboard-VM när hon firar för tidigt.,2006
Sport,Sverige vinner VM-guld i curling för damer i Kanada.,2010
Sport,Henrik Lundqvist röstas fram som NHL:s bäste målvakt.,2012
Sport,Malin Ewerlöf vinner VM-guld i friidrott på 400 meter häck.,1997
Sport,Cristiano Ronaldo säljs till Real Madrid för 94 miljoner euro.,2009
Sport,Diego Forlan vinner guldskorna som bäste målskytt i fotbolls-VM i Sydafrika.,2010
Sport,LeBron James väljer att lämna Cleveland för Miami Heat.,2010
Sport,Gösta Pettersson vinner klassikern Milano–San Remo i cykling.,1970
Sport,Thomas Dreissigacker tävlar för USA i rodd och vinner guld i OS i Peking.,2008
Sport,Katarina Johnson-Thompson vinner VM-guld i sjukamp i Doha.,2019
Sport,Sam Warburton tacklas av planen i rugby-VM-semifinal efter rött kort.,2011
Sport,Sara Sigmundsdottir slutar tvåa i CrossFit Games fyra år i rad.,2018
Sport,Mondo Duplantis sätter inomhusvärldsrekord i stavhopp med 6.20 meter.,2021
Sport,Joel Embiid väljs som förstaval i NBA-draften av Philadelphia 76ers.,2014
Sport,Mia Hamm vinner OS-guld i fotboll med USA i Atlanta.,1996
Sport,Martin Fourcade vinner sin femte raka VM-titel i skidskytte.,2015
Sport,Peter Forsberg vinner OS-guld med Kanada i Salt Lake City.,2002
Sport,Virrat Kohli slår 50 testcenturier i kriket.,2020
Sport,Noa Pothoven vinner OS-guld i friidrott på 400 meter i Paris.,2024
Sport,Sydney McLaughlin-Levrone sätter världsrekord på 400 meter häck i Paris.,2024
Sport,Léon Marchand vinner fyra OS-guld i simning i Paris.,2024
Sport,Torsten Larsen vinner Vasaloppet för andra gången.,1969
Sport,Hans Engnestangen vinner OS-guld i orientering i Montreal.,1976
Sport,Ulrike Meyfarth vinner OS-guld i höjdhopp i München som 16-åring.,1972
Sport,Peter Snell vinner OS-guld på 800 och 1500 meter i Tokyo.,1964
Sport,Abebe Bikila vinner OS-guld i maraton för andra gången i Tokyo.,1964
Sport,Dick Fosbury vinner OS-guld i höjdhopp med sin revolutionerande teknik i Mexico City.,1968
Sport,David Hemery vinner OS-guld på 400 meter häck i Mexico City.,1968
Sport,Kipchoge Keino vinner OS-guld på 1500 meter och besegrar Jim Ryun i Mexico City.,1968
Sport,Lasse Virén vinner OS-guld på 5000 och 10000 meter i München.,1972
Sport,Alberto Juantorena vinner OS-guld på 400 och 800 meter i Montreal.,1976
Sport,Sebastian Coe sätter världsrekord på 800 meter och 1500 meter.,1981
Sport,Carl Lewis vinner OS-guld i längdhopp i Seoul trots Ben Johnsons doping.,1988
Sport,Hassiba Boulmerka vinner OS-guld på 1500 meter i Barcelona.,1992
Sport,Haile Gebrselassie vinner OS-guld på 10 000 meter i Atlanta.,1996
Sport,Cathy Freeman springer i sin ikoniska heldrakt och vinner OS-guld i Sydney.,2000
Sport,Jan Ullrich vinner Tour de France som förste tysk cyklist.,1997
Sport,Valentina Vezzali vinner OS-guld i florettfäktning i tre raka OS.,2004
Sport,Ernie Els vinner US Open för andra gången i karriären.,1997
Sport,Vijay Singh slår Tiger Woods från världsettan i golf.,2004
Sport,Michael Schumacher vinner sitt femte raka F1-världsmästerskap.,2003
Sport,Ralf Schumacher tävlar i F1 samma tid som sin bror Michael.,2001
Sport,Kimi Räikkönen vinner F1-VM på sista varvet av sista loppet i Brasilien.,2007
Sport,Dario Franchitti vinner Indy 500 för andra gången.,2010
Sport,Tom Brady leder New England Patriots till sin sjätte Super Bowl-seger.,2019
Sport,Serena Williams vinner Australian Open gravid med sin dotter.,2017
Sport,Rafael Nadal vinner French Open för nionde gången – ett rekord för ett enskilt grand slam.,2014
Sport,Andy Murray vinner US Open och tar sin andra grand slam-titel.,2012
Sport,Stanislas Wawrinka vinner Australian Open och tar sin första grand slam-titel.,2014
Sport,Grigor Dimitrov når Wimbledon-semifinalen och kallas Lill-Federer.,2014
Sport,Novak Djokovic vinner alla fyra grand slams i karriären för andra gången.,2016
Sport,Petra Kvitova vinner Wimbledon trots att hon kom tillbaka efter en knivattack.,2019
Sport,Gareth Bale gör ett volley-mål i Champions League-finalen mot Liverpool.,2018
Sport,Zlatan Ibrahimović gör sitt sista mål för Sverige och tackar av publiken.,2016
Sport,Henrik Larsson gör sitt sista mål för Celtic och hyllas av fansen.,2004
Sport,Peter Schmeichel väljs till världens bäste målvakt av IFFHS.,1992
Sport,Nicklas Lidström vinner Norris Trophy som NHL:s bäste back för sjunde gången.,2011
Sport,Mats Sundin väljs som kapten för Toronto Maple Leafs.,1997
Sport,Ronaldo vinner Champions League med Real Madrid för femte gången.,2018
