category,question,year
Geografi,Kilimanjaro bestigas av den yngsta personen – en 7-åring – och sätter rekord.,2018
Geografi,Sydpolen nås av Roald Amundsens expedition fem veckor före Scotts brittiska lag.,1911
Geografi,Nordpolen nås för första gången av Peary och Henson med hundspann.,1909
Geografi,Victor Vescovo dyker till Marianergraven och sätter nytt djuprekord på 10 927 meter.,2019
Geografi,Robin Knox-Johnston är den förste att ensam segla runt jorden utan att stanna.,1969
Geografi,Thor Heyerdahl korsar Stilla havet på flotten Kon-Tiki och bevisar att Polynesien kan nås.,1947
Geografi,Bertrand Piccard och Brian Jones flyger runt jorden i ballong utan att landa.,1999
Geografi,Steve Fossett flyger ensam runt jorden utan att landa.,2005
Geografi,Angkor Wat i Kambodja återupptäcks av franske utforskaren Henri Mouhot.,1860
Geografi,Tutankhamons grav öppnas av Howard Carter i Egypten.,1922
Geografi,Pompejis ruiner börjar grävas ut systematiskt.,1748
Geografi,Göbekli Tepe i Turkiet dateras och är 6 000 år äldre än Stonehenge.,1994
Geografi,Dead Sea Scrolls hittas av en herde i grottor nära Döda havet.,1947
Geografi,Krakatau-vulkanen i Indonesien exploderar och hörs 5 000 kilometer bort.,1883
Geografi,Vesuvius exploderar och begravde Pompeji och Herculaneum under lava och aska.,79
Geografi,Mount St Helens i Washington exploderar och toppen blåser av.,1980
Geografi,Pinatubo på Filippinerna exploderar och aska sväljer omgivande byar.,1991
Geografi,Vulkanen Tambora exploderar på Sumbawa och orsakar ett år utan sommar.,1815
Geografi,Eyjafjallajökull på Island exploderar och flygtrafiken i Europa stoppas i sex dagar.,2010
Geografi,Fagradalsfjall på Island bryter ut och lava rinner mot bebyggelse för första gången på 800 år.,2021
Geografi,Litla-Hrút på Island bryter ut och lava hotar Grindaviks stad.,2024
Geografi,Tonga-vulkanen exploderar under havet och tsunamin når Japan och Sydamerika.,2022
Geografi,Nyiragongo i DR Kongo bryter ut och lava rinner mot staden Goma.,2021
Geografi,Fuego i Guatemala bryter ut och 190 dör i pyroklastiska strömmar.,2018
Geografi,Merapi på Java exploderar och 350 000 evakueras.,2010
Geografi,Kilauea på Hawaii bryter ut och lava sväljer Leilani Estates-bostadsområdet.,2018
Geografi,Etna på Sicilien spyr aska och Catanias flygplats tvingas stänga.,2021
Geografi,Jordbävningen och tsunamin i Indiska oceanen på Annandag jul dödar 230 000.,2004
Geografi,Jordbävningen och tsunamin i Japan utlöser Fukushimakraftverkets härdsmälta.,2011
Geografi,Jordbävningen i Nepal dödar 9 000 och rasar tempel i Kathmandudalen.,2015
Geografi,Jordbävningen i Turkiet och Syrien dödar 50 000.,2023
Geografi,Jordbävningen i Kobe i Japan dödar 6 400.,1995
Geografi,Jordbävningen i Marocko dödar 3 000 i historiska bergbyar.,2023
Geografi,Jordbävningen i Afghanistan dödar 1 500.,2022
Geografi,Superorkanen Haiyan drabbar Filippinerna och dödar 6 300.,2013
Geografi,Orkanen Katrina bryter dyerna i New Orleans och staden svämmas över.,2005
Geografi,Orkanen Maria slår ut Puerto Ricos elnät i nio månader.,2017
Geografi,Orkanen Dorian stannar över Bahamas och utplånar hela öar.,2019
Geografi,Orkanen Andrew drabbar Florida och orsakar 26 miljarder dollar i skador.,1992
Geografi,Cyklonen Bhola drabbar Bangladesh och dödar 300 000 – historiens dödligaste tropiska storm.,1970
Geografi,Cyklonen Idai slår mot Moçambique och Zimbabwe och dödar 1 000.,2019
Geografi,Cyklonen Winston drabbar Fiji och är södra halvklotets starkaste storm.,2016
Geografi,Tyfonen Hagibis drabbar Japan och orsakar de värsta översvämningarna på decennier.,2019
Geografi,Vanuatu drabbas av cyklonen Pam och 90 procent av byggnaderna förstörs.,2015
Geografi,Aceh i Indonesien utplånas av tsunamin och 170 000 dör.,2004
Geografi,Sri Lanka förlorar 30 000 invånare i tsunamin på Annandag jul.,2004
Geografi,Pakistan drabbas av monsunöversvämningar och en tredjedel av landet svämmas över.,2022
Geografi,Libyen drabbas av storm Daniel och Derna-dammen brister och 10 000 dör.,2023
Geografi,Kanadas Fort McMurray evakueras av 90 000 invånare när en skogsbrand sveper igenom.,2016
Geografi,Portugals skogsbränder dödar 64 i en enda natt nära Pedrógão Grande.,2017
Geografi,Greceas skogsbränder utanför Aten dödar 102.,2018
Geografi,Medelhavsbränderna i Turkiet förstör 200 000 hektar skog och kuststäder evakueras.,2021
Geografi,Skogsbränderna i Kanadas Quebec är de värsta i provinsens historia.,2023
Geografi,Skogsbränderna längs Kanadas västra kust är de värsta i landets historia.,2023
Geografi,Deepwater Horizon-plattformen exploderar i Mexikanska golfen och 11 dör.,2010
Geografi,Exxon Valdez grundstöter utanför Alaska och orsakar ett av USA:s värsta oljeutsläpp.,1989
Geografi,Prestige-oljetankern sjunker utanför Galicien och förstör Spaniens atlantkust.,2002
Geografi,Bhopal-olyckan i Indien – ett kemikalieutsläpp dödar tusentals på några timmar.,1984
Geografi,Seveso-olyckan i Italien sprutar dioxin över bostadsområden och evakuering sker.,1976
Geografi,Three Mile Island-reaktorn i Pennsylvania drabbas av ett haveriltillfälle.,1979
Geografi,Tjernobylolyckan i Ukraina kastar ut radioaktivt material och 30 km-zonen evakueras.,1986
Geografi,Fukushima-kraftverket drabbas av härdsmälta efter tsunamin och 150 000 evakueras.,2011
Geografi,Londons Great Smog dödar 4 000 invånare på fyra dagar och ny luftlag antas.,1952
Geografi,Love Canal i New York evakueras när ett bostadsområde byggts på giftig mark avslöjas.,1978
Geografi,Minamata-sjukdomen identifieras i Japan och kopplas till kvicksilver i havet.,1956
Geografi,Minamata-konventionen mot kvicksilver undertecknas av 128 länder.,2013
Geografi,Suezkanalen blockeras i sex dagar när containerfartyget Ever Given fastnar tvärs kanalen.,2021
Geografi,Panamakanalen vidgas och kan nu ta de allra största containerfartyget.,2016
Geografi,Suezkanalen nationaliseras av president Nasser och England och Frankrike reagerar.,1956
Geografi,Ryssland planterar en flagga på Nordpolens havsbotten och hävdar territorieanspråk.,2007
Geografi,Danmark lämnar in anspråk på Nordpolen till FN och geologisk tvist inleds.,2014
Geografi,Nordvästpassagen seglas för första gången utan isbrytare av en expedition.,2007
Geografi,Krimbryggan invigs av Putin och förbinder fastlandet med den annekterade halvön.,2018
Geografi,Krimbryggan attackeras av Ukraina och förstörs delvis.,2022
Geografi,Kina bygger konstgjorda öar i Spratlyöarna och skapar militärbaser i havet.,2015
Geografi,Filippinerna vinner havsrättstvisten mot Kina i Haag men Kina ignorerar domen.,2016
Geografi,Kanada och Danmark löser sin tvist om Hans ö i Arktis fredligt.,2022
Geografi,Falklandsöarna håller folkomröstning och 99 procent röstar för att stanna brittiska.,2013
Geografi,Katalonien håller en ogiltig självständighetsomröstning och spansk polis ingriper.,2017
Geografi,Skottland håller folkomröstning om självständighet och 55 procent röstar nej.,2014
Geografi,Kosovo utropar självständighet och ett femtiotal länder erkänner omedelbart.,2008
Geografi,Montenegro håller folkomröstning och lämnar unionen med Serbien.,2006
Geografi,Storbritanniens Brexit-omröstning ger 52 procent för utträde ur EU.,2016
Geografi,Kroatien antas som EU:s 28:e medlemsland.,2013
Geografi,Finland och Sverige ansöker om NATO-medlemskap.,2022
Geografi,Finland antas formellt i NATO.,2023
Geografi,Sverige antas formellt i NATO och 200 år av neutralitet bryts.,2024
Geografi,Vatikanen grundas formellt som suverän stat via Lateranfördraget.,1929
Geografi,Hagia Sofia i Istanbul omvandlas åter till moské och muslimer ber för första gången sedan 1934.,2020
Geografi,Angkor Wat i Kambodja stänger för turister under militärkuppen i Myanmar – men det är i Kambodja.,2021
Geografi,Machu Picchu stängs temporärt för turister efter protester om massturism.,2023
Geografi,Venedig sätter upp entréavgift för dagsturister.,2024
Geografi,Santorini i Grekland inför turisttak per dag för att skydda ön.,2024
Geografi,Bali i Indonesien inför entréavgift för utländska turister.,2024
Geografi,Maya Bay i Thailand stängs i tre år för att ekosystemet ska återhämta sig.,2018
Geografi,Dubrovnik i Kroatien inför maxantal turister per dag i den historiska stadsmuren.,2017
Geografi,Taj Mahal begränsar antalet dagliga besökare till 40 000.,2017
Geografi,Bhutan höjer turistavgiften till 200 dollar per dag.,2022
Geografi,Uluru stängs definitivt för klättring i respekt för Anangu-folkets heliga plats.,2019
Geografi,Chichen Itza stängs för klättring och trapporna är nu förbjudna för turister.,2006
Geografi,Moai-statyerna på Påskön skadas i en brand och kulturarvet hotas.,2022
Geografi,Palmyra i Syrien sprängs av IS och tusenåriga monument förstörs.,2015
Geografi,Timbuktu i Mali plundras av IS och UNESCO-listade moskéer jämnas med marken.,2012
Geografi,Bamiyan-Buddhastatyerna i Afghanistan sprängde av talibanerna.,2001
Geografi,Göta kanal invigs och förbinder Göteborg med Östersjön via inre vattenvägar.,1832
Geografi,Icehotellet i Jukkasjärvi byggs för allra första gången och lockar turister.,1990
Geografi,Kiruna beslutar att flytta hela stadskärnan på grund av gruvan under marken.,2004
Geografi,Kiruna stad börjar sin dramatiska flytt en kilometer österut.,2018
Geografi,Hornborgasjön i Västergötland restaureras och tiotusentals tranor återvänder.,1994
Geografi,Höga Kusten erkänns som UNESCO-världsarv.,2000
Geografi,Kvarken-arkipelagen erkänns som UNESCO-världsarv.,2006
Geografi,Botniabanan invigs och Norrland får snabbare järnvägsförbindelse söderut.,2010
Geografi,Arlanda Express invigs och Stockholm får snabbtåg till flygplatsen på 20 minuter.,1999
Geografi,Götatunneln i Göteborg öppnar och är Nordens längsta vägtunnel.,2006
Geografi,Citybanan i Stockholm invigs och pendeltågen får sin egen tunnel under city.,2017
Geografi,Slussen i Stockholm börjar rivas och ett nytt projekt tar form.,2016
Geografi,Falun gruva stänger efter mer än 700 år.,1992
Geografi,Falun gruva erkänns som UNESCO-världsarv.,2001
Geografi,Visby på Gotland erkänns som UNESCO-världsarv för sin medeltida ringmur.,1995
Geografi,Drottningholm slott erkänns som UNESCO-världsarv.,1991
Geografi,Skogskyrkogården i Stockholm erkänns som UNESCO-världsarv.,1994
Geografi,Laponia-området i norra Sverige erkänns som UNESCO-världsarv.,1996
Geografi,Hälsinglands dekorerade bondgårdar erkänns som UNESCO-världsarv.,2012
Geografi,Höga Kusten-bron invigs och är Skandinaviens längsta hängbro.,1997
Geografi,Norrbotniabanan beslutas byggas längs Norrlandskusten.,2022
Geografi,Gällivare beviljas medel för att flytta delar av staden undan gruvan.,2015
Geografi,Stockholms trängselskatt införs och trafiken minskar med 20 procent.,2007
Geografi,Vargen återetableras i Sverige efter att ha varit borta i decennier.,1983
Geografi,Havsörnen stryks från rödlistan i Sverige efter framgångsrikt skyddsarbete.,2000
Geografi,Östersjöns syrebrist når rekordstor utbredning och larm utfärdas.,2018
Geografi,Abisko nationalpark firar 100 år.,2009
Geografi,Sarek nationalpark erkänns som del av Laponia UNESCO-världsarv.,1996
Geografi,Skansen i Stockholm firar 100 år som världens äldsta friluftsmuseum.,1991
Geografi,Inlandsisen lämnar Sverige och Skandinavien höjer sig ur havet.,8000 f.Kr.
Geografi,Yellowstone National Park inrättas som världens allra första nationalpark.,1872
Geografi,Serengeti erkänns som UNESCO-världsarv.,1981
Geografi,Galápagosöarna utropas till nationalpark.,1959
Geografi,Great Barrier Reef riskerar att sättas upp på UNESCOs lista över hotade världsarv.,2021
Geografi,Daintree-regnskogen i Australien köps tillbaka av Aboriginer och återlämnas.,2021
Geografi,Indiens Taj Mahal erkänns som ett av världens sju underverk.,2007
Geografi,Hagia Sofia i Istanbul omvandlas från museum till moské.,2020
Geografi,Pompeji-utgrävningarna avslöjar ett intakt snabbmatsstånd med matrester kvar.,2020
Geografi,Pompeji-utgrävningarna avslöjar ett nytt hus med detaljerade fresker.,2019
Geografi,Egyptens nytt museum GEM invigs nära pyramiderna i Kairo.,2023
Geografi,Abu Simbel-templet i Egypten räddas genom att lyftas 65 meter ovanför Nassersjön.,1968
Geografi,Venedigs MOSE-barriär aktiveras för första gången och håller havet borta från staden.,2020
Geografi,Dubai öppnar Palm Jumeirah och bostäderna säljer slut på timmar.,2006
Geografi,Jakarta sjunker och Indonesien meddelar att landets huvudstad ska flytta till Borneo.,2019
Geografi,Nusantara utnämns officiellt till Indonesiens nya huvudstad på Borneo.,2022
Geografi,Sears Tower i Chicago invigs och är i 25 år världens högsta byggnad.,1973
Geografi,Taipei 101 invigs i Taiwan och håller världshögsta-titeln i sex år.,2004
Geografi,Merdeka 118 i Kuala Lumpur invigs och tar titeln som världens näst högsta byggnad.,2023
Geografi,Akashi-Kaikyo-bron i Japan invigs och tar titeln som världens längsta hängbro.,1998
Geografi,Millau-viadukten i Frankrike invigs och är ett av världens mest spektakulära brobyggen.,2004
Geografi,Humber Bridge i England invigs och tar titeln som världens längsta hängbro.,1981
Geografi,Bosphorus Bridge i Istanbul invigs och förbinder Europa med Asien.,1973
Geografi,USA:s Interstate Highway-system inleds under Eisenhower.,1956
Geografi,Den Panamerikanska motorvägen invigs och sträcker sig 30 000 kilometer.,1963
Geografi,Svalbard Global Seed Vault invigs och världens fröarv bevaras i permafrosten.,2008
Geografi,Svalbard Global Seed Vault hotas av smältvatten och förstärkningar byggs.,2017
Geografi,London Underground öppnas och är världens första underjordiska järnväg.,1863
Geografi,New Yorks tunnelbana öppnar och kör dygnet runt.,1904
Geografi,Washington DC byggs upp efter att blivit nedbränt av brittiska trupper.,1814
Geografi,Canberra byggs som kompromiss-huvudstad mellan Sydney och Melbourne.,1913
Geografi,Abuja ersätter Lagos som Nigerias huvudstad och byggs från grunden.,1991
Geografi,Naypyidaw invigs som Myanmars nya huvudstad och är spöklikt öde vid öppningen.,2005
Geografi,Astana döps om till Nur-Sultan och sedan tillbaka till Astana.,2022
Geografi,Singapore utesluts ur Malajsiska federationen och tvingas till självständighet.,1965
Geografi,Hong Kongs sista brittiske guvernör lämnar hamnen och Kina tar kontrollen.,1997
Geografi,Macau återlämnas till Kina av Portugal.,1999
Geografi,Bamiyan-Buddhastatyerna i Afghanistan sprängs av talibanerna.,2001
Geografi,Haitis jordbävning rasar Port-au-Prince och 230 000 dör.,2010
Geografi,New Orleans översvämmas när orkanen Katrinas dyker brister.,2005
Geografi,Los Angeles drabbas av Northridge-jordbävningen och motorvägar rasar.,1994
Geografi,San Francisco drabbas av en jordbävning under World Series på TV.,1989
Geografi,Kina tar emot OS och är det första kommunistiska landet att arrangera sommar-OS.,2008
Geografi,Japan arrangerar OS ett år försenat på grund av pandemin.,2021
Geografi,Paris arrangerar sommar-OS och simmarna tävlar i floden Seine.,2024
Geografi,München arrangerar OS och 11 israeliska idrottare mördas i en terrorattack.,1972
Geografi,Atlanta arrangerar OS och en bomb exploderar i Centennial Olympic Park.,1996
Geografi,Peking arrangerar vinter-OS och är den enda stad att arrangera både sommar och vinter-OS.,2022
Geografi,Sotji arrangerar vinter-OS i subtropiskt klimat och konstgjord snö används.,2014
Geografi,Rio de Janeiro arrangerar OS och är det första i Sydamerika.,2016
Geografi,Seoul arrangerar OS och Sydkoreas ekonomiska under visas upp för världen.,1988
Geografi,Barcelona arrangerar OS och moderniserar sin kust och infrastruktur.,1992
Geografi,Los Angeles arrangerar OS och Sovjet-blocket bojkottar i gengäld mot 1980.,1984
Geografi,Moskva arrangerar OS och USA-ledd koalition bojkottar på grund av Afghanistan-invasionen.,1980
Geografi,Mexico City arrangerar OS och höjden på 2 240 meter påverkar idrottarna.,1968
Geografi,Rom arrangerar OS och Abebe Bikila vinner maratonloppet barfota.,1960
Geografi,Melbourne arrangerar OS och är det första på södra halvklotet.,1956
Geografi,Helsinki arrangerar OS och Sovjet deltar för allra första gången.,1952
Geografi,Berlin arrangerar OS och Jesse Owens vinner fyra guld inför Hitler.,1936
Geografi,Vandringen längs Camino de Santiago besöks av 350 000 pilgrimer under ett år.,2019
Geografi,Kyoto inför turisttak i populära områden efter klagomål från invånarna.,2023
Geografi,Santorini inför maxgräns för kryssningsfartyg per dag.,2024
Geografi,Amsterdam förbjuder nya hotell i stadskärnan för att minska massturismen.,2017
Geografi,Dubrovnik inför maxantal turister per dag i stadsmuren.,2017
Geografi,Maya Bay i Thailand stängs i tre år för ekosystemets återhämtning.,2018
Geografi,Maya Bay öppnar igen och havslivet återhämtat sig snabbare än väntat.,2022
Geografi,Reykjavik tar emot fler turister än hela Islands befolkning under en säsong.,2016
Geografi,Bhutan höjer turistavgiften dramatiskt till 200 dollar per dag.,2022
Geografi,Lissabon väljs till Europas bästa destination av European Consumers Choice.,2022
Geografi,Oslo stänger bilar från stadskärnan och är bland de första i Europa.,2019
Geografi,Göteborg inför trängselskatt och bilisterna väljer kollektivtrafik.,2013
Geografi,Stockholm inför trängselskatt och trafiken minskar med 20 procent.,2007
Geografi,Ystad invaderas av Wallander-turister och en hel industri skapas kring serien.,2010
Geografi,Hallstatt i Österrike kopieras av en kinesisk stad i exakt replik.,2012
Geografi,Pragas borgmästare inför åtgärder mot massturismen i gamla stan.,2019
Geografi,Barcelonas borgmästare deklarerar kamp mot massturism.,2024
Geografi,Bergen i Norge utnämns till Europas kulturhuvudstad.,2000
Geografi,Wien utnämns till världens bästa stad att bo i av EIU.,2023
Geografi,Helsingfors utnämns till Världens designhuvudstad.,2012
Geografi,Göteborg utnämns till Europas mest hållbara destination.,2020
Geografi,Palau i Stilla havet kräver att turister skriver på en bevaringsed vid inresan.,2017
Geografi,Bhutan är det enda landet som kräver att turister betalar för varje dag de besöker.,1974
Geografi,Nya Zeeland lanserar sin Night Sky Reserve och lockar stjärnskådare.,2019
Geografi,Norges Atlantic Road koras till Norges vackraste körsträcka.,2005
Geografi,Trollstigen i Norge öppnar för säsongen och 650 000 besökare kommer.,2012
Geografi,Lofoten-öarna i Norge avfärdar oljeborrning utanför öarna.,2015
Geografi,Svalbard Global Seed Vault öppnar och tar emot sina första fröprover.,2008
Geografi,Danmarks cykelstad Köpenhamn koras till världens bästa cykelstad.,2019
Geografi,Amsterdams cykelinfrastruktur kopieras av städer världen över.,2015
Geografi,Singapores Gardens by the Bay öppnar och Supertrees lyser upp natten.,2012
Geografi,Dubais Museum of the Future invigs och är en arkitektonisk sensation.,2022
Geografi,Louvren i Paris tar emot sin 10 miljonte besökare och sätter rekord.,2012
Geografi,Louvren stänger under Gula Väst-protesterna i Paris.,2018
Geografi,Britiska museet drabbas av stöld och 2 000 föremål försvinner.,2023
Geografi,Nationalmuseum i Stockholm återöppnar efter tio års renovering.,2018
Geografi,Vasa-museet i Stockholm tar emot 1.5 miljoner besökare och är landets mest besökta.,2018
Geografi,ABBA-museet öppnar på Djurgården i Stockholm.,2013
Geografi,Fotografiskamuseet i Stockholm öppnar och fotografin hyllas som konstform.,2010
Geografi,Icehotellet i Jukkasjärvi firar 30 år och är fortfarande ett av världens märkligaste hotell.,2020
Geografi,Norrlandskusten marknadsförs som High Coast Destination och besökarna ökar.,2018
Geografi,Inlandsvägen i Sverige utses till en av Europas vackraste cykelrutter.,2016
Geografi,Kungsleden firar 100 år och är Sveriges mest välkända vandringsleder.,2000
Geografi,Visby medeltidsvecka lockar 40 000 besökare och är störst i Norden.,2019
Geografi,Östersund utnämns till UNESCO Creative City of Gastronomy.,2010
Geografi,Umeå utnämns till Europas kulturhuvudstad.,2014
Geografi,Malmö öppnar Turning Torso och det är Skandinaviens högsta byggnad.,2005
Geografi,Sundsvall bränns ner helt och hållet och byggs upp i sten.,1888
Geografi,Gävle bränns ner och byggs upp i sten vilket ger stadens nuvarande struktur.,1869
Geografi,Härnösand utsätts för en av de hårdaste bränderna och förlorar sin gamla stadsbebyggelse.,1721
Geografi,Alvin-ubåten hittar och fotograferar Titanic 73 år efter förlisningen.,1985
Geografi,Victor Vescovo dyker till Marianergraven och kartlägger havsbotten.,2019
Geografi,Chicxulub-kratern vid Mexiko bekräftas som platsen för dinosauriernas utdöende.,1991
Geografi,Kola-borrhålet i Ryssland når 12 km djup och är det djupaste konstgjorda hålet.,1989
Geografi,Jordens inre kärnas rotation bekräftas avvika från ytan av seismologer.,2023
Geografi,Challenger-expeditionen genomför historiens första vetenskapliga oceanografiska resa.,1872
Geografi,Dead Sea Scrolls hittas av en herde i grottor vid Qumran nära Döda havet.,1947
Geografi,Göbekli Tepe i Turkiet dateras och visar att organiserat samhälle är äldre än trott.,1994
Geografi,Tutankhamons grav öppnas av Howard Carter och guldmasken blänker.,1922
Geografi,Egyptens Sakkara-nekropol avslöjar intakta sarkofager för första gången på 2 500 år.,2020
Geografi,Amazons dolda städer kartläggs av LIDAR och en försvunnen civilisation återupptäcks.,2018
Geografi,Inca-vägar kartläggs av satelliter och sträcker sig 40 000 kilometer.,2015
Geografi,Veryovkina-grottan i Georgien fastslås vara världens djupaste med 2 212 meter.,2018
Geografi,Son Doong-grottan i Vietnam öppnas för turister och platserna säljer slut på timmar.,2013
Geografi,Altamira-grottan i Spanien stängs för att skydda de 17 000 år gamla grottmålningarna.,1977
Geografi,Lascaux-grottan i Frankrike stängs för allmänheten och en exakt kopia byggs bredvid.,1963
Geografi,Lascaux IV öppnar som en fullskalig replik av den förhistoriska originalrottan.,2016
Geografi,Skara Brae på Orkney blottläggs av en storm och visar ett 5 000 år gammalt samhälle.,1850
Geografi,Ötzi ismannen hittas i Alperna och är 5 300 år gammal.,1991
Geografi,Lucy – en tidig Australopithecus – hittas i Etiopien.,1974
Geografi,Terrakottaarmén i Kina hittas av bönder som gräver en brunn.,1974
Geografi,Machu Picchu erkänns som ett UNESCO-världsarv.,1983
Geografi,Pompejis utgrävningar avslöjar ett intakt snabbmatsstånd med matrester kvar.,2020
Geografi,Angkor-templen i Kambodja erkänns som UNESCO-världsarv.,1992
Geografi,Nubiska monument räddas av UNESCO när Assuan-dammen byggs.,1968
Geografi,Abu Simbel-templet räddas genom att lyftas 65 meter ovanför Nassersjön.,1968
Geografi,Stonehenges underjord kartläggs och ett nytt forntida monument hittas.,2020
Geografi,Riksantikvarieämbetet klassar Gammelstads kyrkby i Luleå som UNESCO-världsarv.,1996
Geografi,Etiopien inviger Grand Ethiopian Renaissance Dam och det är Afrikas kraftigaste.,2022
Geografi,Tre Raviner-dammen i Kina tas i full drift och är världens kraftigaste.,2012
Geografi,Akosombo-dammen i Ghana skapar Voltasjön – en av världens största konstgjorda sjöar.,1965
Geografi,Itaipu-dammen mellan Brasilien och Paraguay invigs och är länge kraftigast i världen.,1984
Geografi,Hoover Dam invigs och är ett av 1900-talets mest imponerande ingenjörsprojekt.,1936
Geografi,Glen Canyon-dammen i USA skapar Lake Powell.,1966
Geografi,Islands geotermala kraftverk Hellisheiði invigs och är ett av världens största.,2011
Geografi,Danmark producerar mer vindkraftsel än landet förbrukar under ett år.,2019
Geografi,Skottland uppnår 100 procent av sin elförbrukning från vindkraft under ett år.,2019
Geografi,Costa Rica producerar el i 300 dagar på förnybar energi utan avbrott.,2015
Geografi,Panamas regnskog räddas när Soberanía nationalpark utvidgas.,2000
Geografi,Rondane nationalpark invigs i Norge som landets äldsta nationalpark.,1962
Geografi,Dovrefjell-Sunndalsfjella nationalpark i Norge återintroducerar myskoxen.,1947
Geografi,Svalbard Global Seed Vault tar emot sin 1 miljon-säd-kollektion.,2020
Geografi,Ny-Ålesund på Svalbard blir Kinas första arktiska forskningsbas.,2004
Geografi,Ilulissat-isfjorden i Grönland erkänns som UNESCO-världsarv.,2004
Geografi,Scoresby Sund i Grönland utpekas som världens längsta fjordsystem.,1990
Geografi,Serengeti erkänns som UNESCO-världsarv.,1981
Geografi,Ngorongoro-kratern i Tanzania erkänns som UNESCO-världsarv.,1979
Geografi,Kilimanjaro National Park erkänns som UNESCO-världsarv.,1987
Geografi,Okavango-deltaet erkänns som UNESCO-världsarv.,2014
Geografi,Namib-sand Sea erkänns som UNESCO-världsarv.,2013
Geografi,Virunga nationalpark i DR Kongo erkänns som Afrikas äldsta nationalpark.,1925
Geografi,South Luangwa i Zambia öppnas för ekoturism och wildlifepopulationerna återhämtar sig.,1971
Geografi,Kruger National Park invigs i Sydafrika.,1898
Geografi,Masai Mara Game Reserve inrättas i Kenya.,1961
Geografi,Amboseli National Park i Kenya väljer att stänga för massturism under torrperiod.,2009
Geografi,Göteborgs hamn tappar lastvolym till malmökonkurrenten och omstrukturerar.,2019
Geografi,Köpenhamns Nørreport-station renoveras till en av Nordens modernaste.,2015
Geografi,Helsingborg och Helsingör förbinds med en ny snabb färjelinje.,2019
Geografi,Malmö Turning Torso invigs och är Skandinaviens högsta byggnad.,2005
Geografi,Öresundsregionen bildas formellt som en gränsregion och samarbetet stärks.,2000
Geografi,Jämtland utropas till ett eget rike i ett skämt som faktiskt håller på ett tag.,1963
Geografi,Idre Fjäll invigs som skidort och Dalarna får sin nordligaste destination.,1966
Geografi,Åre erkänns som Skandinaviens bästa skidort av World Ski Awards.,2021
Geografi,Gotlands medeltidsvecka utnämns till en av Europas bästa medeltidsfestivaler.,2018
Geografi,Kiruna vinner utmärkelsen som Europa bästa vinterresmål.,2020
Geografi,Riksgränsen i Sverige håller Sveriges nordligaste skidort öppen till midsommar.,2022
Geografi,Stockholms skärgård utnämns till ett av Europas bästa kajak-destinationer.,2019
