category,question,year
Nöje,Eminem släpper The Slim Shady LP och lanserar en av hiphopens största karriärer.,1999
Nöje,Tupac Shakur skjuts och dör i Las Vegas.,1996
Nöje,Notorious B.I.G. skjuts och dör i Los Angeles.,1997
Nöje,Michael Jackson dör i Los Angeles.,2009
Nöje,Elvis Presley dör i Graceland och en era tar slut.,1977
Nöje,David Bowie dör två dagar efter att ha släppt sitt sista album Blackstar.,2016
Nöje,Prince dör av en oavsiktlig överdos av fentanyl.,2016
Nöje,Amy Winehouse dör i sin lägenhet i London vid 27 års ålder.,2011
Nöje,Kurt Cobain tar sitt liv och en generation sorger.,1994
Nöje,Jim Morrison dör i Paris vid 27 års ålder.,1971
Nöje,Jimi Hendrix dör i London vid 27 års ålder.,1970
Nöje,Janis Joplin dör i Los Angeles vid 27 års ålder.,1970
Nöje,The Beatles gör sitt TV-genombrott i USA i Ed Sullivan Show.,1964
Nöje,Rolling Stones turnerar för första gången i USA.,1964
Nöje,Grateful Dead spelar sin sista konsert innan Jerry Garcias död.,1995
Nöje,Led Zeppelin spelar sin sista konsert som fullständigt band.,1980
Nöje,Pink Floyd-turnén The Wall är en av de dyraste produktionerna i musikhistorien.,1980
Nöje,Bruce Springsteen spelar Born in the USA-turnén och säljer ut arenor.,1984
Nöje,Madonna's Blond Ambition-turné anses som en av historiens bästa.,1990
Nöje,Michael Jackson's Dangerous-turné spelas inför 3 miljoner åskådare.,1992
Nöje,Oasis och Blur kämpar om topplatsen på singellistan i ett kulturkrig.,1995
Nöje,Destiny's Child splittras och Beyoncé startar en solokarriär.,2003
Nöje,N'Sync splittras och Justin Timberlake lanserar sin solokarriär.,2002
Nöje,Spice Girls återförenas för en turné efter splittringen.,2007
Nöje,Take That splittras och Robbie Williams startar sin solokarriär.,1995
Nöje,Robbie Williams gör comeback med Take That och hyllas.,2010
Nöje,ABBA gör comeback med ett nytt album efter 40 år.,2021
Nöje,Björn Again – ABBA-tribute – turnerar i över 30 år världen runt.,2022
Nöje,Avicii dör i Muscat vid 28 års ålder och Sverige sörjer.,2018
Nöje,Swedish House Mafia gör comeback på Ultra Music Festival.,2018
Nöje,Roxette-sångerskan Marie Fredriksson dör i cancer.,2019
Nöje,Sverige vinner Eurovision Song Contest för sjunde gången.,2023
Nöje,Cornelia Jakobs tävlar för Sverige i Eurovision Song Contest.,2022
Nöje,Måns Zelmerlöw vinner Eurovision Song Contest med Heroes.,2015
Nöje,Loreen vinner Eurovision Song Contest med Euphoria.,2012
Nöje,Loreen vinner Eurovision Song Contest för andra gången med Tattoo.,2023
Nöje,Carola vinner Eurovision Song Contest med Fångad av en stormvind.,1991
Nöje,Charlotte Nilsson vinner Eurovision Song Contest med Take Me to Your Heaven.,1999
Nöje,Schlager-drottningen Lill Lindfors är konferencier på Eurovision i Stockholm.,1985
Nöje,SVT sänder Eurovision Song Contest för fjärde gången i Stockholm.,2016
Nöje,Avsnitt 1 av TV-serien Downton Abbey sänds i England.,2010
Nöje,TV-serien The Office börjar sändas i England.,2001
Nöje,Fawlty Towers sänds i England och anses vara en av tidernas bästa sitcoms.,1975
Nöje,Monty Python's Flying Circus börjar sändas i BBC.,1969
Nöje,Mr. Bean visas för första gången och Rowan Atkinson skapar en ikonisk karaktär.,1990
Nöje,Only Fools and Horses börjar sändas i BBC.,1981
Nöje,Blackadder Goes Forth sänds och anses vara seriens bästa säsong.,1989
Nöje,Doctor Who återuppstår i BBC med Christopher Eccleston i titelrollen.,2005
Nöje,Sherlock börjar sändas i BBC med Benedict Cumberbatch.,2010
Nöje,Peaky Blinders börjar sändas i BBC.,2013
Nöje,The Crown har sin premiär på Netflix.,2016
Nöje,Fleabag vinner fyra Emmy-priser för sin andra säsong.,2019
Nöje,Normal People hyllas för sin intima skildring av ett ungt kärlekspar.,2020
Nöje,Ted Lasso vinner Emmy för bästa komedi och applåderas av kritikerna.,2021
Nöje,TV-serien Succession avslutas.,2023
Nöje,Saltburn blir en kultklassiker på nätet med sin slutscen.,2023
Nöje,Barbie-filmen med Margot Robbie spräcker miljarden på biograferna.,2023
Nöje,Oppenheimer och Barbie dominerar bio-sommaren och benämns Barbenheimer.,2023
Nöje,Poor Things vinner fyra Oscars bland dem bästa skådespelerska.,2024
Nöje,Taylor Swift's Eras Tour är den mest inkomstbringande turnén någonsin.,2023
Nöje,Beyoncé's Renaissance-turné hyllas som ett av decenniets bästa shower.,2023
Nöje,Dune – del två – hyllas som en av de bästa science fiction-filmerna på länge.,2024
Nöje,The Batman med Robert Pattinson hyllas av kritiker och publik.,2022
Nöje,Spider-Man: No Way Home har de bästa biopremiärerna under pandemitiden.,2021
Nöje,Top Gun: Maverick är Tom Cruise's mest inkomstbringande film.,2022
Nöje,Everything Everywhere All at Once vinner sju Oscars.,2023
Nöje,Mission: Impossible-franchisen fortsätter med Tom Cruise vid 60-årsåldern.,2023
Nöje,John Wick-serien revolulionerar actionfilmsgenren.,2014
Nöje,The Matrix har biopremiär och skapar ett kulturellt fenomen.,1999
Nöje,Pulp Fiction har biopremiär och hyllas omedelbart som en mästerverk.,1994
Nöje,Fight Club har biopremiär med Brad Pitt och Edward Norton.,1999
Nöje,American Beauty vinner Oscars bästa film.,2000
Nöje,A Beautiful Mind vinner Oscars bästa film.,2002
Nöje,Chicago vinner Oscars bästa film.,2003
Nöje,Million Dollar Baby vinner Oscars bästa film.,2005
Nöje,Crash vinner Oscars bästa film och skapar kontroverser.,2006
Nöje,The Departed vinner Oscars bästa film och Scorsese sin första regi-Oscar.,2007
Nöje,Slumdog Millionaire vinner åtta Oscars.,2009
Nöje,The King's Speech vinner Oscars bästa film.,2011
Nöje,12 Years a Slave vinner Oscars bästa film.,2014
Nöje,Birdman vinner Oscars bästa film med sin unika kameratekniken.,2015
Nöje,The Revenant hyllas för Leo DiCaprios roll och han vinner Oscar.,2016
Nöje,La La Land förlorar Oscar för bästa film i ett dramatiskt felmeddelandande.,2017
Nöje,Green Book vinner Oscars bästa film.,2019
Nöje,Joker med Joaquin Phoenix är den mest lönsamma R-klassade filmen.,2019
Nöje,Soul är Pixars första film med en svart huvudkaraktär.,2020
Nöje,The Sopranos sista avsnitt avslutas med en svart bild.,2007
Nöje,Breaking Bad-skaparen Vince Gilligan lanserar spinoffen Better Call Saul.,2015
Nöje,Dexter's sista avsnitt hyllas inte och anses som ett av TV-historiens besvikelser.,2013
Nöje,True Detective säsong 1 med Matthew McConaughey hyllas av kritiker.,2014
Nöje,Chernobyl-minifliken sänds på HBO och hyllas som en av de bästa serierna.,2019
Nöje,The Last of Us-serien premiärsänds på HBO med stor framgång.,2023
Nöje,Succession-seriefinalen ses av rekordmånga tittare på HBO.,2023
Nöje,Oppenheimer vinner Oscars bästa film och Christopher Nolan tar hem sin första regi-Oscar.,2024
Nöje,Will Smith ger Chris Rock en örfil live på Oscarsgalan och chockar hela världen.,2022
Nöje,Titanic vinner 11 Oscars och sätter rekord som delas med Ben-Hur och Sista kriget.,1998
Nöje,The Godfather II vinner Oscars bästa film och är första uppföljaren att göra det.,1975
Nöje,One Flew Over the Cuckoo's Nest vinner alla fem stora Oscars.,1976
Nöje,Annie Hall vinner Oscars bästa film och Diane Keaton hyllas.,1978
Nöje,Marlon Brando vägrar ta emot sin Oscar och skickar en aktivist i sitt ställe.,1973
Nöje,Halle Berry vinner Oscar som förste afroamerikanska kvinna i kategorin bästa skådespelerska.,2002
Nöje,Denzel Washington vinner Oscar för bästa manliga skådespelare i Training Day.,2002
Nöje,Heath Ledger tilldelas en posthum Oscar för rollen som Jokern.,2009
Nöje,Cate Blanchett vinner sin andra Oscar och är en av historiens mest hyllade skådespelerskor.,2014
Nöje,Daniel Day-Lewis vinner sin tredje Oscar – en rekord för manliga skådespelare.,2013
Nöje,Meryl Streep vinner sin tredje Oscar och slår rekord med 21 nomineringar.,2012
Nöje,Lupita Nyong'o vinner sin första Oscar för 12 Years a Slave och håller ett tårfyllt tal.,2014
Nöje,Bong Joon-ho vinner regi-Oscar för Parasite och tackar Martin Scorsese.,2020
Nöje,Avatar: The Way of Water har biopremiär och slår rekord trots mixade recensioner.,2022
Nöje,Top Gun: Maverick slår kassarekord och Tom Cruise visar att filmstjärnan lever.,2022
Nöje,Doctor Strange in the Multiverse of Madness öppnar weekenden starkast i Marvels historia.,2022
Nöje,The Super Mario Bros Movie slår kassarekord för en animerad film baserad på ett spel.,2023
Nöje,Interstellar har biopremiär och Nolans rymdfilm skapar kulturell vurm.,2014
Nöje,Mad Max: Fury Road vinner sex Oscars och anses som ett av decenniets bästa actionäventyr.,2016
Nöje,Get Out vinner Oscar för bästa originalmanuskript och Jordan Peele hyllas.,2018
Nöje,Moonlight vinner Oscars bästa film efter att La La Land utropats av misstag.,2017
Nöje,CODA vinner Oscars bästa film och är Apple TV+:s första vinnare.,2022
Nöje,The Whale med Brendan Fraser har biopremiär och hans comeback hyllas.,2022
Nöje,The Substance med Demi Moore chockar Cannes och vinner pris för bästa manus.,2024
Nöje,Emilia Pérez vinner fyra Oscars och är den mest nominerade spanska filmen någonsin.,2025
Nöje,Nirvana spelar sin sista konsert i München och Kurt Cobain avslutar turnén.,1994
Nöje,Oasis spelar sin sista konsert i Paris och bandet splittras omedelbart efter.,2009
Nöje,The Beatles spelar sin sista liveshow i San Francisco inför 25 000 på Candlestick Park.,1966
Nöje,Bob Dylan vinner Nobelpriset i litteratur och musikkritikerna jublar.,2016
Nöje,Beyoncé lanserar albumet Renaissance och skapar den mest hyllade dansplattan på decennier.,2022
Nöje,Beyoncé ger ut Cowboy Carter och kliver in i country-genren med ett nytt album.,2024
Nöje,Taylor Swift lanserar Midnights och sätter Spotifyrekord med tre miljarder streams på en dag.,2022
Nöje,Taylor Swift tillkännager sin Eras Tour och den blir den mest inkomstbringande turnén i historien.,2023
Nöje,Olivia Rodrigo debuterar med Good 4 U och dominerar listor i 27 länder.,2021
Nöje,Harry Styles debuterar med Fine Line och slår Beatlesrekord på albumlistorna.,2019
Nöje,Drake och Kendrick Lamar inleder ett publikt beef med diss-låtar och internet exploderar.,2024
Nöje,Kendrick Lamar vinner Grammys bästa rap-album för Mr. Morale and the Big Steppers.,2023
Nöje,SZA lanserar SOS och albumet dominerar charts i månader i rad.,2022
Nöje,Billie Eilish vinner Grammy för albumet Hit Me Hard and Soft och är 22 år gammal.,2025
Nöje,Sabrina Carpenter slår igenom internationellt med Espresso och sommaren 2024 tillhör henne.,2024
Nöje,Chappell Roan bryter igenom med Good Luck Babe och sätter rekord på streaminglistor.,2024
Nöje,Katy Perry spelar Super Bowl-halvtidsshown med Left Shark och internet skrattar.,2015
Nöje,Prince spelar Super Bowl-halvtidsshown i regnet med Purple Rain och hyllas.,2007
Nöje,Michael Jackson spelar Super Bowl-halvtidsshown och 1 miljard tittar.,1993
Nöje,Eminem knäböjer under Super Bowl-halvtidsshown som en politisk gest.,2022
Nöje,Usher spelar Super Bowl-halvtidsshown och bjuder upp gamla 2000-talsstjärnor.,2024
Nöje,Daft Punk tackar av efter 28 år med en dramatisk videoannons och inget mer.,2021
Nöje,The Strokes debuterar med Is This It och räddar guitar-rocken för en ny generation.,2001
Nöje,Amy Winehouse lanserar Back to Black och ett nytt sound föds.,2006
Nöje,Adele lanserar albumet 25 och säljer 3 miljoner exemplar på en vecka.,2015
Nöje,Adele avslutar sin residency i Las Vegas och anses ha satt nytt standard för konserter.,2024
Nöje,Coldplay håller sin Music of the Spheres-turné och sätter rekord i publik och hållbarhet.,2023
Nöje,Arctic Monkeys debuterar med Whatever People Say I Am och är snabbast säljande i UK.,2006
Nöje,Lana Del Rey debuterar med Video Games och viral-kulturen föds.,2011
Nöje,Rihanna lanserar albumet Good Girl Gone Bad och We Found Love förändrar allt.,2007
Nöje,Kanye West avbryter Taylor Swifts tacksägelsetal på VMAs och internet hatar.,2009
Nöje,Nicki Minaj och Cardi B hamnar i slagsmål på en New York-fest.,2018
Nöje,Travis Scott-konserten på Astroworld-festivalen slutar i katastrof och 10 dör.,2021
Nöje,Glastonburyfestivalen hålls för första gången på en farm i Somerset.,1970
Nöje,Coachella-festivalen hålls för första gången i Indio i Kalifornien.,1999
Nöje,Beyoncé spelar som första svarta soloartist på Coachella och ger historisk show.,2018
Nöje,Rock in Rio-festivalen hålls för första gången i Brasilien.,1985
Nöje,The Last of Us Part II lanseras och vinner flest Game of the Year-priser i historien.,2020
Nöje,Red Dead Redemption 2 lanseras och hyllas som ett av de mest ambitiösa spelen.,2018
Nöje,Elden Ring lanseras och FromSoftware bevisar att svåra spel kan bli mainstream.,2022
Nöje,Baldur's Gate 3 vinner Game of the Year och revolutionerar rollspelsgenren.,2023
Nöje,The Legend of Zelda: Tears of the Kingdom slår alla förväntningar på Switch.,2023
Nöje,GTA VI tillkännages med en trailer och sätter Youtuberekord på visningar.,2023
Nöje,PlayStation 5 lanseras och Sony säljer 10 miljoner enheter på rekordtid.,2020
Nöje,Nintendo Switch lanseras och säljer 100 miljoner enheter och slår konsol-rekord.,2017
Nöje,Fortnite introducerar crossover med Marvel och kulturkollisionen normaliseras.,2018
Nöje,Among Us exploderar och streamers gör spelet till ett globalt fenomen.,2020
Nöje,Wordle köps av New York Times och dagliga ordspel blir en social ritual.,2022
Nöje,Diablo IV lanseras och slår rekord för Blizzards snabbast sålda spel.,2023
Nöje,World of Warcraft lanseras och MMORPG-genren exploderar i popularitet.,2004
Nöje,Halo 2 lanseras och onlinespel via Xbox Live normaliseras.,2004
Nöje,Call of Duty: Modern Warfare lanseras och skjutarspel tar en ny riktning.,2007
Nöje,Minecraft når 300 miljoner sålda exemplar och är historiens mest sålda spel.,2023
Nöje,Twitch förvärvas av Amazon för 970 miljoner dollar.,2014
Nöje,Succession avslutas och sista avsnittet ses av rekordmånga tittare för HBO.,2023
Nöje,House of the Dragon premiärsänds och lockar 10 miljoner tittare på premiärskvällen.,2022
Nöje,The Bear premiärsänds och utnämns direkt till en av de bästa TV-serierna.,2022
Nöje,Euphoria säsong 2 premiärsänds och Zendaya hyllas universellt för sin prestation.,2022
Nöje,White Lotus säsong 2 slutar med ett mord som chockar alla tittare.,2022
Nöje,Yellowstone lanseras och western-dramer blomstrar på nytt.,2018
Nöje,Abbott Elementary premiärsänds och sitcom-genren får nytt liv.,2021
Nöje,Severance premiärsänds på Apple TV+ och vinner flera Emmy-priser.,2022
Nöje,The Bear vinner Emmy för bästa komedi trots att serien är ett drama.,2023
Nöje,Shogun-remaken premiärsänds och vinner historiska 18 Emmy-priser.,2024
Nöje,Only Murders in the Building premiärsänds och Steve Martin gör comeback.,2021
Nöje,Wednesday premiärsänds på Netflix och slår Stranger Things tittarrekord.,2022
Nöje,Sex Education premiärsänds på Netflix och brittisk ungdomsserie erövrar världen.,2019
Nöje,Dark premiärsänds och tysk TV-serie erövrar globala Netflix-toppen.,2017
Nöje,Money Heist slutar och den mest sedda icke-engelskspråkiga serien tar farväl.,2021
Nöje,Lupin premiärsänds och Omar Sy blir den mest sedda franska Netflix-serien.,2021
Nöje,Squid Game slår alla streamingrekord och Korea dominerar popkulturen.,2021
Nöje,Pachinko premiärsänds och hyllas som Apple TV+:s bästa serie.,2022
Nöje,ABBA vinner Eurovision i Brighton med Waterloo och Sverige exploderar i glädje.,1974
Nöje,ABBA avslutar sin sista turné i Göteborg och 3 miljoner såg dem live.,1979
Nöje,ABBA-museet öppnar på Djurgården i Stockholm och köerna är rekordlånga.,2013
Nöje,ABBAns Voyage-album lanseras och det hyllas som en häpnadsväckande comeback.,2021
Nöje,ABBA Voyage-konsert öppnar i London med hologram och publiken mister andan.,2022
Nöje,Björn Ulvaeus och Benny Andersson skriver musiken till Chess som uruppförs i London.,1984
Nöje,Benny Andersson lanserar sitt pianosolo-album och visar ett nytt musikaliskt ansikte.,2017
Nöje,Avicii debuterar med Levels och förvandlar elektronisk dans-musik till mainstreamhit.,2011
Nöje,Avicii spelar sin sista konsert i Ibiza.,2016
Nöje,Avicii hittas avliden i Muscat och svensk musik sörjer en av sina största ikoner.,2018
Nöje,Tim-stiftelsen grundas av Aviciis familj för att bekämpa psykisk ohälsa hos unga.,2019
Nöje,Swedish House Mafia lanserar Don't You Worry Child och värdsomslutande hit.,2012
Nöje,Swedish House Mafia spelar sin avskedskonsert på Ultra Miami och tre miljoner deltar digitalt.,2013
Nöje,Robyn lanserar Body Talk och utnämns till ett av decenniets bästa album av kritiker.,2010
Nöje,Robyn spelar Glastonbury och britterna utropar henne till kvällens stjärna.,2019
Nöje,Robyn håller sin Infinite Bounce-turné och spelår ut arenor i USA.,2023
Nöje,Roxette lanserar The Look och slår sig direkt in på Billboard Hot 100.,1989
Nöje,Roxette håller världsturné och spelar för miljoner trots Marie Fredrikssons sjukdom.,1995
Nöje,Roxette håller comeback-turné och 2.5 miljoner biljetter säljer på rekordtid.,2010
Nöje,Marie Fredriksson håller sin sista konsert i Sverige och publiken gråter.,2016
Nöje,Marie Fredriksson dör och Per Gessle skriver en sista hyllning till sin vän.,2019
Nöje,Loreen vinner Melodifestivalen med Euphoria och börjar vägen mot Eurovision-seger.,2012
Nöje,Loreen vinner Eurovision i Baku med Euphoria och sätter poängrekord.,2012
Nöje,Loreen vinner Melodifestivalen med Tattoo och alla förstår att hon är i en klass för sig.,2023
Nöje,Loreen vinner Eurovision i Liverpool med Tattoo och Sverige har nu sju segrar.,2023
Nöje,Måns Zelmerlöw vinner Melodifestivalen med Heroes och tar tåget till Wien.,2015
Nöje,Måns Zelmerlöw vinner Eurovision i Wien med Heroes och Sverige jublar.,2015
Nöje,Carola vinner Melodifestivalen med Fångad av en stormvind på rekordpoäng.,1991
Nöje,Carola vinner Eurovision i Rom och är den tredje svenska vinnaren.,1991
Nöje,Charlotte Nilsson vinner Eurovision i Jerusalem med Take Me to Your Heaven.,1999
Nöje,Herreys vinner Eurovision i Luxemburg med Diggiloo Diggiley och guldskorna syns.,1984
Nöje,Lill Lindfors uppträder som konferencier på Eurovision i Stockholm i en klänning som spricker.,1985
Nöje,Cornelia Jakobs tävlar för Sverige i Eurovision i Turin med Hold Me Closer.,2022
Nöje,Benjamin Ingrosso tävlar för Sverige i Eurovision i Lissabon med Dance You Off.,2018
Nöje,John Lundvik tävlar för Sverige i Eurovision i Tel Aviv med Too Late for Love.,2019
Nöje,Melodifestivalen fyller 60 år och ett specialprogram sänds på SVT.,2019
Nöje,Melodifestivalens slutfinale lockar 4 miljoner tittare och är SVT:s mest sedda program.,2020
Nöje,Zara Larsson vinner Talang Sverige som tolvåring med sin imiterande röst.,2008
Nöje,Zara Larsson lanserar Lush Life och slår sig in i den internationella musiktoppen.,2015
Nöje,Zara Larsson sjunger på avslutningsceremonin vid UEFA Champions League-finalen.,2017
Nöje,Tove Lo spelar på Coachella och bekräftar sin plats bland världens popstjärnor.,2017
Nöje,Ace of Base debuterar med All That She Wants och slår sig in på listor i 30 länder.,1992
Nöje,Ace of Base når toppen av Billboard Hot 100 med The Sign och säljer 23 miljoner.,1993
Nöje,E-Type lanserar This is the Way och det blir ett eurodance-original i hela Europa.,1994
Nöje,Basshunter lanserar Boten Anna och den sprids viralt på internets tidiga dagar.,2006
Nöje,Icona Pop lanserar I Love It med Charli XCX och den spelas i varje reklamfilm.,2012
Nöje,Cornelis Vreeswijk spelar sin sista konsert och Sverige sörjer sin folkligaste poet.,1987
Nöje,Povel Ramel tilldelas en hedersdoktorsexamen och komikens fader hyllas.,1996
Nöje,Povel Ramel dör och Sverige förlorar en av sina allra roligaste och varmaste artister.,2007
Nöje,Evert Taube hyllas på 100-årsdagen och hans visor sjungs runt om i Sverige.,1990
Nöje,Evert Taube dör och brevet till Taube-fansen skrivs av en hel nation.,1976
Nöje,Sven-Ingvars spelar sin sista dansbandsturné och danskulturen hyllas.,2020
Nöje,Melodikrysset firas som ett av de längst körda programmen på Sveriges Radio.,2010
Nöje,Sommar i P1 fyller 60 år och är ett av Sveriges mest lyssnade radioprogram.,2019
Nöje,Moraeus med mera sänds för sista gången och SVT tackar av ett älskat program.,2020
Nöje,Melodifestivalen direktsänds för allra första gången från Cirkus i Stockholm.,1958
Nöje,SVT sänder Melodifestivalen för första gången i Globen och ett nytt kapitel inleds.,1989
Nöje,Astrid Lindgrens Pippi Långstrump filmatiseras av Olle Hellbom och lanseras.,1969
Nöje,Astrid Lindgrens Emil i Lönneberga filmatiseras och Jan Ohlsson blir en legend.,1971
Nöje,Astrid Lindgrens Ronja Rövardotter får biopremiär och anses som en klassiker direkt.,1984
