category,question,year
Personer,Albert Einstein dör i Princeton i USA.,1955
Personer,Leonardo da Vinci dör i Amboise i Frankrike.,1519
Personer,William Shakespeare dör på sin födelsedag i Stratford-upon-Avon.,1616
Personer,Isaac Newton dör i London och begravs i Westminster Abbey.,1727
Personer,Charles Darwin dör och begravs intill Newton i Westminster Abbey.,1882
Personer,Sigmund Freud dör av munhålecancer i London dit han flytt från nazisterna.,1939
Personer,Nikola Tesla dör ensam och utfattig i ett hotellrum i New York.,1943
Personer,Abraham Lincoln skjuts på Ford's Theatre i Washington och dör.,1865
Personer,Napoleon Bonaparte dör i exil på ön S:ta Helena.,1821
Personer,Wolfgang Amadeus Mozart dör 35 år gammal under mystiska omständigheter.,1791
Personer,Ludwig van Beethoven dör i Wien omgiven av en folkmassa.,1827
Personer,Karl Marx dör i London och begravs på Highgate Cemetery.,1883
Personer,Florence Nightingale dör av utmattning vid 90 års ålder i London.,1910
Personer,Galileo Galilei dör under husarrest i Arcetri.,1642
Personer,Nelson Mandela dör 95 år gammal i Johannesburg.,2013
Personer,Martin Luther King skjuts på en hotelläng i Memphis och dör.,1968
Personer,Mahatma Gandhi skjuts ihjäl av en fanatiker i New Delhi.,1948
Personer,Winston Churchill dör 90 år gammal och hyllas av hela världen.,1965
Personer,John F. Kennedy mördas i en öppen bil i Dallas Texas.,1963
Personer,Robert Kennedy mördas i Los Angeles efter ett framgångsrikt primärval.,1968
Personer,Elvis Presley dör hemma i Graceland i Memphis.,1977
Personer,John Lennon skjuts av en galning utanför sitt hem i New York.,1980
Personer,Freddie Mercury dör av aids-relaterad lunginflammation.,1991
Personer,Astrid Lindgren dör 94 år gammal i Stockholm.,2002
Personer,Ingmar Bergman dör på Fårö samma dag som Michelangelo Antonioni.,2007
Personer,Olof Palme mördas på öppen gata på väg hem från biografen i Stockholm.,1986
Personer,Dag Hammarskjöld omkommer i en flygplanskrasch i Rhodesia.,1961
Personer,Raoul Wallenberg försvinner i Ungern och tas av Sovjet.,1945
Personer,Birger Jarl grundlägger Stockholm som stad vid Mälaren.,1252
Personer,Gustav Vasa väljs till kung av Sverige och bryter sig loss ur Kalmarunionen.,1523
Personer,Selma Lagerlöf tilldelas Nobelpriset i litteratur och är den första kvinna att göra det.,1909
Personer,August Strindberg dör i Stockholm och lämnar ett enormt litterärt arv.,1912
Personer,Alfred Nobel föds i Stockholm.,1833
Personer,Alfred Nobel dör i San Remo och lämnar sin förmögenhet till ett pris.,1896
Personer,Elon Musk föds i Pretoria i Sydafrika.,1971
Personer,Steve Jobs och Steve Wozniak grundar Apple i ett garage i Kalifornien.,1976
Personer,Steve Jobs dör av bukspottkörtelcancer i Palo Alto.,2011
Personer,Bill Gates grundar Microsoft tillsammans med Paul Allen.,1975
Personer,Mark Zuckerberg grundar Facebook på Harvard University.,2004
Personer,Jeff Bezos grundar Amazon i sin garage i Seattle.,1994
Personer,Larry Page och Sergey Brin grundar Google som ett universitetsprojekt.,1998
Personer,Stephen Hawking diagnostiseras med ALS och ges två år att leva.,1963
Personer,Stephen Hawking dör vid 76 års ålder och överlevde sin diagnos med 55 år.,2018
Personer,Malala Yousafzai tilldelas Nobels fredspris och är den yngsta mottagaren.,2014
Personer,Barack Obama tilldelas Nobels fredspris kort efter att ha blivit president.,2009
Personer,Mother Teresa tilldelas Nobels fredspris.,1979
Personer,Martin Luther King tilldelas Nobels fredspris.,1964
Personer,Aung San Suu Kyi tilldelas Nobels fredspris men sitter i husarrest.,1991
Personer,Lech Walesa tilldelas Nobels fredspris för sin roll i Solidaritet.,1983
Personer,Mikhail Gorbatjov tilldelas Nobels fredspris för sin roll i Kalla krigets slut.,1990
Personer,Nelson Mandela och F.W. de Klerk tilldelas gemensamt Nobels fredspris.,1993
Personer,Albert Schweitzer tilldelas Nobels fredspris för sin humanitära insats.,1952
Personer,George Marshall tilldelas Nobels fredspris för Marshallplanen.,1953
Personer,Wangari Maathai tilldelas Nobels fredspris som förste afrikanska kvinna.,2004
Personer,Muhammad Yunus tilldelas Nobels fredspris för mikrokrediterna.,2006
Personer,Liu Xiaobo tilldelas Nobels fredspris medan han sitter i kinesiskt fängelse.,2010
Personer,Nadia Murad och Denis Mukwege tilldelas gemensamt Nobels fredspris.,2018
Personer,Greta Thunberg nomineras till Nobels fredspris men får det inte.,2019
Personer,Emmanuelle Charpentier och Jennifer Doudna tilldelas Nobels kemipris för CRISPR.,2020
Personer,Roger Penrose tilldelas Nobels fysikpris för arbete om svarta hål.,2020
Personer,Abdulrazak Gurnah tilldelas Nobelpriset i litteratur.,2021
Personer,Svante Pääbo tilldelas Nobelpriset i medicin för paleogenomik.,2022
Personer,Narges Mohammadi tilldelas Nobels fredspris från sin iranska fängelsecell.,2023
Personer,Jon Fosse tilldelas Nobelpriset i litteratur.,2023
Personer,Toni Morrison föds i Ohio och kommer att bli en av USA:s viktigaste författare.,1931
Personer,Gabriel García Márquez föds i Colombia och skapar magisk realism.,1927
Personer,Pablo Neruda föds i Chile och växer upp till en av världens viktigaste poeter.,1904
Personer,Franz Kafka föds i Prag och skriver sina drömska dystopier.,1883
Personer,James Joyce föds i Dublin och kommer revolutionera roman-formen.,1882
Personer,Virginia Woolf föds i London och blir en av feminismens röster i litteraturen.,1882
Personer,Ernest Hemingway föds i Illinois och senare vinner Nobelpriset i litteratur.,1899
Personer,George Orwell föds i Indien som Eric Arthur Blair.,1903
Personer,J.R.R. Tolkien föds i Sydafrika och skapar en hel fantasivärld.,1892
Personer,Agatha Christie föds i Torquay och kommer att bli världens bäst säljande kriminalförfattare.,1890
Personer,J.K. Rowling föds i Yate i England och skapar Harry Potter.,1965
Personer,Tomas Tranströmer tilldelas Nobelpriset i litteratur.,2011
Personer,Simone de Beauvoir föds i Paris och kommer att bli den moderna feminismens moder.,1908
Personer,Rosa Parks föds i Alabama och kommer att kämpa för medborgerliga rättigheter.,1913
Personer,Malcolm X föds i Omaha och blir en stark röst för svarta rättigheter i USA.,1925
Personer,Harriet Tubman föds som slav och flyr för att sedan leda fler till frihet.,1822
Personer,Frederick Douglass föds som slav och kämpar sig till att bli en ledande abolist.,1818
Personer,Sojourner Truth håller sitt kända tal Ain't I a Woman vid en konvention.,1851
Personer,Susan B. Anthony arresteras för att ha röstat i ett presidentval i USA.,1872
Personer,Emmeline Pankhurst grundar WSPU och kämpar för brittiska kvinnors rösträtt.,1903
Personer,Marie Curie är den enda person som fått Nobelpriset i två olika vetenskapliga discipliner.,1911
Personer,Rosalind Franklin fotograferar DNA med röntgen och bidrar till dubbelhelixens upptäckt.,1952
Personer,Valentina Tereshkova blir den första kvinnan i rymden.,1963
Personer,Sally Ride blir den första amerikanska kvinnan i rymden.,1983
Personer,Mae Jemison blir den första afroamerikanska kvinnan i rymden.,1992
Personer,Christiane Nüsslein-Volhard tilldelas Nobelpriset i medicin för genetik.,1995
Personer,Elizabeth Blackwell blir den första kvinnan i USA med läkarexamen.,1849
Personer,Tu Youyou tilldelas Nobelpriset i medicin för malariabehandling.,2015
Personer,Elon Musk grundar SpaceX med målet att kolonisera Mars.,2002
Personer,Elon Musk köper Twitter och byter namn på plattformen till X.,2022
Personer,Jeff Bezos avgår som VD för Amazon efter 27 år.,2021
Personer,Oprah Winfrey startar sin egen TV-kanal OWN.,2011
Personer,Barack Obama håller sin historiska installationsceremoni som president.,2009
Personer,Donald Trump väljs till USA:s president för andra gången.,2024
Personer,Joe Biden väljer att inte kandidera till nästa presidentval.,2024
Personer,Kamala Harris nomineras som demokraternas presidentkandidat.,2024
Personer,Volodymyr Zelenskyj väljs till Ukrainas president.,2019
Personer,Emmanuel Macron väljs till Frankrikes yngste president.,2017
Personer,Jacinda Ardern avgår som Nya Zeelands premiärminister.,2023
Personer,Rishi Sunak blir Storbritanniens förste brittisk-asiatiske premiärminister.,2022
Personer,Liz Truss avgår efter 45 dagar som Storbritanniens premiärminister.,2022
Personer,Angela Merkel avgår som förbundskansler efter 16 år vid makten.,2021
Personer,Luiz Inácio Lula da Silva väljs till Brasiliens president för tredje gången.,2022
Personer,Narendra Modi väljs till Indiens premiärminister för tredje gången.,2024
Personer,Xi Jinping kröns till Kinas president för tredje gången.,2023
Personer,Vladimir Putin väljs till president för fjärde gången i ett ifrågasatt val.,2024
Personer,Viktor Orbán sitter kvar som Ungerns premiärminister trots kritik.,2022
Personer,Giorgia Meloni väljs till Italiens förste kvinnliga premiärminister.,2022
Personer,Pedro Sánchez sitter kvar som Spaniens statsminister trots minoritetsregering.,2023
Personer,Albert Camus tilldelas Nobelpriset i litteratur.,1957
Personer,Jean-Paul Sartre vägrar ta emot Nobelpriset i litteratur.,1964
Personer,Samuel Beckett tilldelas Nobelpriset i litteratur.,1969
Personer,Gabriel García Márquez tilldelas Nobelpriset i litteratur.,1982
Personer,Toni Morrison tilldelas Nobelpriset i litteratur.,1993
Personer,Doris Lessing tilldelas Nobelpriset i litteratur.,2007
Personer,Herta Müller tilldelas Nobelpriset i litteratur.,2009
Personer,Herbjørg Wassmo föds i Norge och skriver den klassiska Dinas bok.,1942
Personer,Selma Lagerlöf föds i Värmland och skapar Gösta Berlings saga.,1858
Personer,Harry Martinson tilldelas Nobelpriset i litteratur.,1974
Personer,Eyvind Johnson tilldelas Nobelpriset i litteratur.,1974
Personer,Par Lagerkvist tilldelas Nobelpriset i litteratur.,1951
Personer,Verner von Heidenstam tilldelas Nobelpriset i litteratur.,1916
Personer,Dag Hammarskjöld tilldelas Nobels fredspris postumt.,1961
Personer,Desmond Tutu tilldelas Nobels fredspris för sin kamp mot apartheid.,1984
Personer,Mikhail Gorbatjov inleder glasnost och perestrojka i Sovjet.,1986
Personer,Boris Jeltsin väljs till Rysslands förste folkvalde president.,1991
Personer,Vladimir Putin utses till Rysslands premiärminister av Jeltsin.,1999
Personer,Hugo Chávez väljs till Venezuelas president.,1998
Personer,Fidel Castro avgår som Kubas president efter 49 år vid makten.,2008
Personer,Kim Jong-un tar över makten i Nordkorea efter sin far Kim Jong-ils död.,2011
Personer,Dalai Lama ber en pojke om förlåtelse efter att ha bett honom suga på sin tunga.,2023
Personer,Cleopatra möter Julius Caesar och ett politiskt och romantiskt förbund uppstår.,48 f.Kr.
Personer,Cleopatra tar sitt liv efter Antonius fall och Egypten faller till Rom.,30 f.Kr.
Personer,Julius Caesar korsar Rubicon-floden och utlöser ett inbördeskrig i Rom.,49 f.Kr.
Personer,Marcus Aurelius bestiger Rom och skriver Självbetraktelser mitt i ett krig.,161
Personer,Aristoteles grundar Lyceum i Aten och börjar undervisa om naturvetenskap.,335 f.Kr.
Personer,Platon skriver Staten och lägger grunden för västerländsk politisk filosofi.,375 f.Kr.
Personer,Pythagoras grunder sin skola i Kroton och matematiken kodifieras.,530 f.Kr.
Personer,Arkimedes skjuts av en romersk soldat under erövringen av Syrakusa.,212 f.Kr.
Personer,Hannibal korsar Alperna med sina elefanter och förvånar hela Rom.,218 f.Kr.
Personer,Spartacus leder slavupproret mot Rom och hängs upp längs Appiska vägen.,71 f.Kr.
Personer,Muhammad tar emot den första uppenbarelsen och islamens historia börjar.,610
Personer,Djingis Khan enar mongolerna och inleder sin erövring av halva världen.,1206
Personer,Marco Polo återvänder till Venedig efter 24 år i Asien och skriver sin berömda reseskildring.,1295
Personer,Ibn Battuta påbörjar sin resa och besöker under 30 år fler länder än någon annan.,1325
Personer,Leonardo da Vinci ritar en flygmaskin och skisserar anatomiska detaljer långt före sin tid.,1490
Personer,Michelangelo slutför David-skulpturen och det hyllas omedelbart som ett mästerverk.,1504
Personer,Galileo Galilei uppträder inför inkvisitionen och tvingas ta tillbaka sina fynd.,1633
Personer,Isaac Newton sitter under ett äppelträd och formulerar tankarna om gravitation.,1666
Personer,René Descartes publicerar Metafysiska meditationer och filosofin tar ett nytt steg.,1641
Personer,Thomas Edison demonstrerar glödlampan offentligt för första gången.,1879
Personer,Nikola Tesla patenterar sin AC-motor och revolutionerar elektrisk drift.,1888
Personer,Charles Darwin besöker Galápagosöarna och observerar de avgörande artvariationerna.,1835
Personer,Sigmund Freud håller sina berömda föreläsningar i Wien om drömtolkning.,1895
Personer,Albert Einstein publicerar fyra banbrytande vetenskapliga artiklar på ett enda år.,1905
Personer,Marie Curie isolerar polonium och radium och namnger dem.,1898
Personer,Rosalind Franklin tar det avgörande röntgenfotot Photo 51 som avslöjar DNA:s struktur.,1952
Personer,James Watson och Francis Crick presenterar DNA:s dubbelhelixstruktur.,1953
Personer,Stephen Hawking bevisar att svarta hål avger strålning – Hawkingstrålningen.,1974
Personer,Alan Turing publicerar sin banbrytande artikel om beräkningsbara tal.,1936
Personer,Tim Berners-Lee presenterar sitt förslag till ett globalt hyperlänkat informationssystem.,1989
Personer,Elon Musk lanserar Tesla Roadster och bevisar att elbilar kan vara snabba.,2008
Personer,Steve Jobs presenterar den första iPhone och förändrar mobilbranschens historia.,2007
Personer,Mark Zuckerberg vittnar inför den amerikanska kongressen om Facebooks datamissbruk.,2018
Personer,Jeff Bezos skjuts upp till rymdens kant med sitt eget raketföretag Blue Origin.,2021
Personer,Bill Gates lämnar Microsoft-styrelsen och fokuserar på välgörenhet.,2020
Personer,Oprah Winfrey startar sin show och snart når den 10 miljoner tittare per dag.,1986
Personer,Nelson Mandela håller sitt berömda tal vid frigivningen utanför Victor Verster-fängelset.,1990
Personer,Desmond Tutu leder sannings- och försoningskommissionen i Sydafrika.,1996
Personer,Malala Yousafzai håller sitt FN-tal på sin 16-årsdag och chockar världen.,2013
Personer,Greta Thunberg strejkar ensam utanför Riksdagen med sin skolstrejk-skylt.,2018
Personer,Barack Obama håller sitt segertal i Chicago och USA jublar.,2008
Personer,Hillary Clinton nomineras som Demokraternas presidentkandidat – första kvinna.,2016
Personer,Kamala Harris svors in som USA:s förste kvinnliga vicepresident.,2021
Personer,Angela Merkel tilldelas Frihetspriset av Barack Obama i Washington.,2011
Personer,Emmanuel Macron gifter sig med sin lärare Brigitte och väcker uppmärksamhet.,2007
Personer,Jacinda Ardern håller press-konferens amma sitt nyfödda barn.,2018
Personer,Dilma Rousseff avsätts som Brasiliens president i en omstridd riksrättsprocess.,2016
Personer,Aung San Suu Kyi frias från husarrest och välkomnas av hundratusentals.,2010
Personer,Aung San Suu Kyi döms till fängelse av militärjuntan efter kuppen i Myanmar.,2021
Personer,Toni Morrison vinner Pulitzerpriset för romanen Beloved.,1988
Personer,Toni Morrison tilldelas USA:s Presidential Medal of Freedom av Obama.,2012
Personer,Gabriel García Márquez publicerar Hundra år av ensamhet och magisk realism föds.,1967
Personer,Pablo Neruda tilldelas Nobelpriset i litteratur trots politisk kontroversiell bakgrund.,1971
Personer,Franz Kafka dör i tuberkulos och ber sin vän Max Brod att bränna alla manuskript.,1924
Personer,George Orwell publicerar Djurfarmen och kritiserar stalinismen i allegorisk form.,1945
Personer,George Orwell publicerar 1984 och präglar vår syn på totalitarism för alltid.,1949
Personer,James Joyce publicerar Ulysses och den moderna romanen når sin höjdpunkt.,1922
Personer,Virginia Woolf publicerar Mrs Dalloway och strömmande medvetande-tekniken blomstrar.,1925
Personer,Virginia Woolf tar sitt liv i floden Ouse efter år av psykisk sjukdom.,1941
Personer,J.R.R. Tolkien publicerar Sagan om ringen och fantasylitteraturen förändras.,1954
Personer,Agatha Christie försvinner under tio dagar och polisen söker henne intensivt.,1926
Personer,J.K. Rowling avvisas av tolv förlag innan Harry Potter antas av Bloomsbury.,1996
Personer,Ernest Hemingway tilldelar sig en skottskada i benet i Havanna av misstag.,1947
Personer,Simone de Beauvoir och Jean-Paul Sartre inleder ett livslångt intellektuellt partnerskap.,1929
Personer,Martin Luther King leder Selma-till-Montgomery-marschen trots polisvåld.,1965
Personer,Malcolm X mördas vid ett möte i Audubon Ballroom i New York.,1965
Personer,Rosa Parks grips på bussen i Montgomery och hennes vägran tänder en rörelse.,1955
Personer,Frederick Douglass håller sitt berömda tal What to the Slave is the Fourth of July.,1852
Personer,Harriet Tubman leder sin sista grupp slavar till frihet via The Underground Railroad.,1860
Personer,Sojourner Truth ger sitt brandtal om frihet och kvinnors rättigheter i Ohio.,1851
Personer,Susan B. Anthony döms för att ha röstat illegalt i ett presidentval.,1873
Personer,Emmeline Pankhurst arresteras och hungerstrejkar i fängelse för rösträtten.,1908
Personer,Malala Yousafzai återvänder till Pakistan för första gången sedan attentatet.,2018
Personer,Greta Thunberg reser med segelbåt till USA för att tala på FN-mötet.,2019
Personer,Yuri Gagarin välkomnas i Moskva med en folkmasssas jubel efter rymdresan.,1961
Personer,Neil Armstrong och Buzz Aldrin planterar USA:s flagga på månens yta.,1969
Personer,Valentina Tereshkova omfamnas av Chrusjtjov vid återkomsten från rymden.,1963
Personer,Christa McAuliffe väljs ut som förste civila astronaut men dör när Challenger exploderar.,1986
Personer,Tim Peake blir den förste brittiske astronauten på ISS.,2015
Personer,Samantha Cristoforetti sätter rekord i tid i rymden för europeiska astronauter.,2022
Personer,Wangari Maathai hämtar Nobels fredspris och planterar ett träd utanför ceremonin.,2004
Personer,Aung San Suu Kyi hämtar sitt Nobels fredspris efter 21 år – i frihet äntligen.,2012
Personer,Liu Xiaobo representeras av en tom stol när Nobels fredspris delas ut i Oslo.,2010
Personer,Malala Yousafzai tackar i sitt Nobel-tal och säger att en bok är farligare än en penna.,2014
Personer,Mother Teresa accepterar Nobels fredspris och ber om tystnad för de oföddas skull.,1979
Personer,Martin Luther King tackar Nobels fredspris och talar om att drömmen lever vidare.,1964
Personer,Barack Obama håller ett ödmjukt Nobel-acceptationstal trots att kriget i Afghanistan pågår.,2009
Personer,Mikhail Gorbatjov sträcker hand mot Reagan och en ny era i Kalla kriget inleds.,1985
Personer,Fidel Castro håller ett fyra timmar långt tal inför FN:s generalförsamling.,1960
Personer,Che Guevara skjuts av bolivianska soldater och CIA i djungeln.,1967
Personer,Mao Zedong simmar i Yangtze vid 73 års ålder för att bevisa sin styrka.,1966
Personer,Kim Il-sung grundar Nordkorea och sätter igång en dynasti som regerar än.,1948
Personer,Kim Jong-il dör av en hjärtattack och sonen Kim Jong-un tar över.,2011
Personer,Saddam Hussein grips i en jordkula utanför Tikrit av amerikanska soldater.,2003
Personer,Muammar Gaddafi grips och dödas under Libyens revolution.,2011
Personer,Slobodan Milošević dör i sin cell i Haag under krigsbrotten-rättegången.,2006
Personer,Pinochet grips i London men skickas hem till Chile utan att dömas.,1998
Personer,Elvis Presley gör sin TV-debut i Ed Sullivan Show och hela Amerika ser på.,1956
Personer,The Beatles landar på JFK-flygplatsen i New York och Beatlemania exploderar i USA.,1964
Personer,David Bowie lanserar Ziggy Stardust och förvandlar musikvärldens syn på identitet.,1972
Personer,Freddie Mercury håller historiens kanske bästa livekonsert på Live Aid i Wembley.,1985
Personer,Michael Jackson moonwalkar för första gången på TV under Motown 25-galansen.,1983
Personer,Michael Jackson köper rättigheterna till Beatles låtar och McCartney rasar.,1985
Personer,Prince spelar in Purple Rain-albumet och filmen och skapar ett kulturellt fenomen.,1984
Personer,Bob Dylan tackar nej till att dyka upp när Nobelpriset delas ut och kritik haglar.,2016
Personer,Amy Winehouse vägrar gå på rehab tre gånger och texten förutspår hennes öde.,2011
Personer,Kurt Cobain hittas död i sitt hem och en musikepok tar slut.,1994
Personer,Johnny Cash spelar in Folsom Prison Blues inför de intagna och albumet blir en legend.,1968
Personer,Madonna bär sin bröllopsklänning på MTV Video Music Awards och väcker rabalder.,1984
Personer,Beyoncé lanserar Lemonade-albumet och avslöjar Jay-Z's otrohet för hela världen.,2016
Personer,Taylor Swift vinner en Grammy och Kanye West stiger upp och avbryter hennes tal.,2009
Personer,Eminem vinner en Oscar för 8 Mile-låten och är den förste hiphop-artisten att göra det.,2003
Personer,Pablo Picasso målar Guernica efter bombningen av den baskiska staden.,1937
Personer,Salvador Dalí skapar Den smälta klockan och surrealismen får sin ikon.,1931
Personer,Andy Warhol skjuts av Valerie Solanas och överlever men är aldrig sig lik igen.,1968
Personer,Jackson Pollock dör i en bilolycka och hans måleri konsolideras som legend.,1956
Personer,Frida Kahlos kropp exhumeras och konstigt nog är hennas ansikte intakt.,2013
Personer,Coco Chanel lanserar sin parfym Chanel No. 5 och revolutionerar parfymindustrin.,1921
Personer,Alexander McQueen tar sitt liv och modebranschen förlorar en av sina mest briljanta.,2010
Personer,Karl Lagerfeld dör och Chanel-huset sörjer sin ikoniska designer.,2019
Personer,Vivienne Westwood dör och punkens modegudmor hyllas av hela branschen.,2022
Personer,Anna Wintour utnämns till chefredaktör för Vogue USA och bygger ett imperium.,1988
Personer,Ingmar Bergman tilldelas Guldlejonet vid Venedigfilmfestivalen för Det sjunde inseglet.,1957
Personer,Andrei Tarkovsky tilldelas Cannes Grand Prix och flyr sedan Sovjet.,1983
Personer,Akira Kurosawa tilldelas en hedersoscar och Spielberg och Lucas håller i priset.,1990
Personer,Charlie Chaplin utvisas från USA under kommunistjakten och reser till Schweiz.,1952
Personer,Alfred Hitchcock nomineras fem gånger till regi-Oscars men vinner aldrig.,1968
Personer,Marlon Brando vägrar ta emot sin Oscar i protest mot Hollywoods behandling av indianer.,1973
Personer,Meryl Streep slår rekord med 21 Oscar-nomineringar och tre segrar.,2012
Personer,Cate Blanchett vinner sin andra Oscar och håller ett feministiskt laddat tacktal.,2014
Personer,Joaquin Phoenix vinner Oscar för Joker och håller ett tal om djurens rättigheter.,2020
Personer,Will Smith ger Chris Rock en örfil live på Oscarsgalan och chockar världen.,2022
Personer,Oprah Winfrey håller ett tal på Golden Globe som gör henne till presidentkandidat i folks ögon.,2018
Personer,Ellen DeGeneres offentliggör sin homosexualitet på TV och mister sin show.,1997
Personer,Robin Williams hittas avliden hemma i sitt hus av ett självmord.,2014
Personer,Anthony Bourdain dör av självmord i Strasbourg och kockvärlden sörjer.,2018
Personer,Ruth Bader Ginsburg dör och USA:s politiska karta förändras.,2020
Personer,Bryan Stevenson vinner ett avgörande mål i USA:s högsta domstol för dödsradsinterner.,2019
Personer,Malcom Gladwell publicerar Outliers och teorin om 10 000 timmar sprids.,2008
Personer,Yuval Noah Harari publicerar Sapiens och föreläser för Zuckerberg och Obama.,2014
Personer,Muhammad Ali vägrar att inställa sig till militärtjänst och förlorar boxningstiteln.,1967
Personer,Pelé gör sitt 1000:e karriärmål och hela Maracanã tystnar i vördnad.,1969
Personer,Roger Federer tackar av i en dubbelstafett med Nadal och gråter öppet på planen.,2022
Personer,Ayrton Senna dör i San Marino Grand Prix och Formel 1 förändras säkerhetsmässigt.,1994
Personer,Lance Armstrong erkänner dopning i en intervju med Oprah Winfrey.,2013
Personer,Ben Johnson diskvalificeras och sitt OS-guld stryps av honom live på TV.,1988
Personer,Diego Maradona gör Hand of God-målet och Argentina besegrar England.,1986
Personer,Zinedine Zidane nickar Materazzi i VM-finalen och utvisas i sin sista match.,2006
Personer,Ronaldo gör sitt 800:e karriärmål och håller en personlig rekordlista.,2023
Personer,Mia Hamm leder USA till VM-guld i fotboll och sätter en hel generation i rörelse.,1999
Personer,Katie Ledecky simmar 1500 meter fritt och slår Michal Phelphs rekord med 4 sekunder.,2016
Personer,Eliud Kipchoge springer maraton under två timmar på Wiens gator – men räknas inte.,2019
Personer,Max Verstappen vinner F1-VM på allra sista varvet av sista loppet.,2021
Personer,Magnus Carlsen vinner VM i schack som 22-åring och är yngst någonsin.,2013
Personer,Gunde Svan vinner OS-guld i Sarajevo och är en hjälte i Sverige.,1984
